Player,Club,Age,Position,Nation,Value,League
Erling Haaland,Manchester City,22,Attack,Norway,180000000.0,Premier League
Kylian Mbappé,Paris Saint-Germain,24,Attack,France,180000000.0,Ligue 1
Vinicius Junior,Real Madrid,22,Attack,Brazil,150000000.0,La Liga
Jude Bellingham,Borussia Dortmund,19,midfield,England,120000000.0,Bundesliga
Bukayo Saka,Arsenal FC,21,Attack,England,120000000.0,Premier League
Victor Osimhen,SSC Napoli,24,Attack,Nigeria,120000000.0,Serie A
Jamal Musiala,Bayern Munich,20,midfield,Germany,110000000.0,Bundesliga
Phil Foden,Manchester City,23,Attack,England,110000000.0,Premier League
Federico Valverde,Real Madrid,24,midfield,Uruguay,100000000.0,La Liga
Pedri,FC Barcelona,20,midfield,Spain,100000000.0,La Liga
Rodrygo,Real Madrid,22,Attack,Brazil,100000000.0,La Liga
Declan Rice,West Ham United,24,midfield,England,90000000.0,Premier League
Martin Ødegaard,Arsenal FC,24,midfield,Norway,90000000.0,Premier League
Rodri,Manchester City,27,midfield,Spain,90000000.0,Premier League
Harry Kane,Tottenham Hotspur,29,Attack,England,90000000.0,Premier League
Gavi,FC Barcelona,18,midfield,Spain,90000000.0,La Liga
Rafael Leão,AC Milan,24,Attack,Portugal,90000000.0,Serie A
Florian Wirtz,Bayer 04 Leverkusen,20,midfield,Germany,85000000.0,Bundesliga
Khvicha Kvaratskhelia,SSC Napoli,22,Attack,Georgia,85000000.0,Serie A
Lautaro Martínez,Inter Milan,25,Attack,Argentina,85000000.0,Serie A
Eduardo Camavinga,Real Madrid,20,midfield,France,85000000.0,La Liga
Aurélien Tchouaméni,Real Madrid,23,midfield,France,85000000.0,La Liga
Marcus Rashford,Manchester United,25,Attack,England,80000000.0,Premier League
Rúben Dias,Manchester City,26,Defender,Portugal,80000000.0,Premier League
Bernardo Silva,Manchester City,28,midfield,Portugal,80000000.0,Premier League
Enzo Fernández,Chelsea FC,22,midfield,Argentina,80000000.0,Premier League
Randal Kolo Muani,Eintracht Frankfurt,24,Attack,France,80000000.0,Bundesliga
Gabriel Martinelli,Arsenal FC,22,Attack,Brazil,80000000.0,Premier League
Christopher Nkunku,RB Leipzig,25,Attack,France,80000000.0,Bundesliga
Nicolò Barella,Inter Milan,26,midfield,Italy,75000000.0,Serie A
Jack Grealish,Manchester City,27,Attack,England,75000000.0,Premier League
Gabriel Jesus,Arsenal FC,26,Attack,Brazil,75000000.0,Premier League
Frenkie de Jong,FC Barcelona,26,midfield,Netherlands,75000000.0,La Liga
Bruno Fernandes,Manchester United,28,midfield,Portugal,75000000.0,Premier League
Matthijs de Ligt,Bayern Munich,23,Defender,Netherlands,75000000.0,Bundesliga
Joshua Kimmich,Bayern Munich,28,midfield,Germany,75000000.0,Bundesliga
Josko Gvardiol,RB Leipzig,21,Defender,Croatia,75000000.0,Bundesliga
Luis Díaz,Liverpool FC,26,Attack,Colombia,75000000.0,Premier League
Bruno Guimarães,Newcastle United,25,midfield,Brazil,70000000.0,Premier League
Ronald Araújo,FC Barcelona,24,Defender,Uruguay,70000000.0,La Liga
Kevin De Bruyne,Manchester City,31,midfield,Belgium,70000000.0,Premier League
Alexander Isak,Newcastle United,23,Attack,Sweden,70000000.0,Premier League
Éder Militão,Real Madrid,25,Defender,Brazil,70000000.0,La Liga
Dusan Vlahovic,Juventus FC,23,Attack,Serbia,70000000.0,Serie A
Alphonso Davies,Bayern Munich,22,Defender,Canada,70000000.0,Bundesliga
William Saliba,Arsenal FC,22,Defender,France,65000000.0,Premier League
Marquinhos,Paris Saint-Germain,29,Defender,Brazil,65000000.0,Ligue 1
Achraf Hakimi,Paris Saint-Germain,24,Defender,Morocco,65000000.0,Ligue 1
