Player,Age,Position,Matches Played,Start,Minutes,Goals,Assists,Penalties Made,Yellow Cards,Red Cards,Shots,Shots On Target,Shots On Target %,Goals Per Shot,Goals Per Shot On Target,Average Shot Distance,Shots From Freekicks,Passes Completed,Passes,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Shot-Creating Actions,Shot-Creating Actions/90,SCA Pass Live,SCA Pass Dead,SCA Take-ons,SCA Shots,SCA Fouls,SCA Defense,Goal-Creating Actions,Goal-Creating Actions/90,Goal Pass Live,Goal Pass Dead,Goal Take-ons,Goal Shots,Goal Fouls,Goal Defense,Tackles,Tackles Won,Challenges,Successful Challenge %,Blocks,Interceptions,Tackles + Interceptions,Clearances,Errors
Kimmich Joshua,27,MF,33,32,"2,809",5,6,1,6,1,27,11,40.7,0.15,0.36,26.0,3,2333,2767,84.3,43859,14050,142,4.55,82,55,1,2,1,1,15,0.48,12,2,0,1,0,0,78,49,38,52.8,36,41,119,39,2
Pavard Benjamin,26,DF,30,27,"2,431",4,1,0,6,0,34,12,35.3,0.12,0.33,18.3,0,2120,2400,88.3,37520,14296,45,1.67,37,0,0,4,0,4,3,0.11,2,0,0,0,0,1,70,41,36,75.0,35,44,114,83,0
Ligt Matthijs,22,DF,31,27,"2,403",3,1,0,4,0,23,8,34.8,0.13,0.38,16.0,0,1902,2088,91.1,36626,12291,25,0.94,21,0,0,4,0,0,3,0.11,0,0,0,3,0,0,32,23,15,62.5,31,23,55,85,0
Upamecano Dayot,23,DF,29,27,"2,348",0,1,0,6,1,7,1,14.3,0.00,0.00,9.0,0,2101,2318,90.6,42619,15514,23,0.88,22,0,0,1,0,0,3,0.11,3,0,0,0,0,0,65,37,28,62.2,26,27,92,71,4
Musiala Jamal,19,"MF,FW",33,26,"2,198",12,10,0,1,0,66,25,37.9,0.18,0.48,15.8,0,857,1018,84.2,12410,2603,120,4.91,90,0,17,8,3,2,26,1.06,18,0,3,2,1,2,34,23,13,37.1,30,19,53,3,0
Davies Alphonso,21,DF,26,24,"2,042",1,4,0,0,0,19,8,42.1,0.05,0.13,18.6,0,1361,1567,86.9,21727,5882,88,3.88,76,0,9,1,1,1,8,0.35,7,0,1,0,0,0,45,28,18,46.2,28,24,69,24,4
Gnabry Serge,27,"FW,MF",34,22,"1,941",14,5,1,0,0,81,40,49.4,0.16,0.33,15.5,1,693,873,79.4,9720,2515,88,4.08,59,3,10,10,3,3,14,0.65,9,0,3,0,2,0,35,23,17,39.5,24,11,46,5,1
Goretzka Leon,27,MF,27,22,"1,728",3,2,0,5,0,40,13,32.5,0.08,0.23,17.2,0,826,1012,81.6,12312,3833,49,2.55,36,0,1,10,1,1,6,0.31,2,0,1,3,0,0,43,24,27,56.3,40,30,73,32,0
Müller Thomas,32,"FW,MF",27,21,"1,665",7,8,0,0,0,47,23,48.9,0.15,0.30,12.5,0,621,831,74.7,8689,2465,86,4.65,74,2,4,5,0,1,12,0.65,10,0,0,2,0,0,21,12,6,37.5,19,4,25,16,0
Sané Leroy,26,"MF,FW",32,20,"2,010",8,7,0,4,0,78,29,37.2,0.10,0.28,19.7,6,880,1078,81.6,12202,3032,93,4.17,72,1,7,7,4,2,15,0.67,13,0,0,2,0,0,38,30,18,50.0,11,3,41,1,2
Sommer Yann,33,GK,19,19,"1,710",0,0,0,1,0,0,0,,,,,0,650,749,86.8,14570,9520,1,0.05,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,,0,1,1,5,1
Mané Sadio,30,"FW,MF",25,18,"1,425",7,5,1,2,0,53,20,37.7,0.11,0.30,12.8,0,307,418,73.4,4444,1192,61,3.85,44,0,4,9,4,0,11,0.69,8,0,1,2,0,0,11,5,1,11.1,15,0,11,4,0
Coman Kingsley,26,"FW,MF",24,16,"1,409",8,5,0,2,1,49,17,34.7,0.16,0.47,18.6,0,640,806,79.4,10106,2128,85,5.43,67,1,9,4,4,0,11,0.70,7,0,1,1,2,0,11,8,7,41.2,19,2,13,7,0
Maxim Choupo-Moting Eric,33,FW,19,14,"1,112",10,2,0,0,0,30,15,50.0,0.33,0.67,12.6,0,223,290,76.9,2934,827,42,3.40,33,0,4,4,0,1,5,0.40,5,0,0,0,0,0,10,7,1,50.0,8,0,10,5,0
Neuer Manuel,36,GK,12,12,"1,080",0,0,0,0,0,2,1,50.0,0.00,0.00,9.0,0,449,504,89.1,10571,7280,2,0.17,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,,0,0,0,4,1
Mazraoui Noussair,24,DF,19,11,"1,075",1,4,0,0,0,8,2,25.0,0.13,0.50,18.5,0,738,867,85.1,10684,3976,33,2.77,29,0,0,2,1,1,5,0.42,4,0,0,0,0,1,29,21,15,62.5,13,10,39,25,0
Cancelo João,28,"DF,FW",15,11,"1,012",1,4,0,3,0,12,4,33.3,0.08,0.25,18.5,0,713,861,82.8,11505,3272,35,3.11,31,0,1,1,2,0,10,0.89,9,0,1,0,0,0,23,14,10,43.5,14,15,38,22,0
Sabitzer Marcel,28,MF,15,7,628,1,1,0,2,0,15,5,33.3,0.07,0.20,21.7,0,402,466,86.3,6205,1668,11,1.58,9,0,0,0,0,2,1,0.14,1,0,0,0,0,0,27,14,10,58.8,3,10,37,9,0
Hernández Lucas,26,DF,7,6,476,0,0,0,1,0,0,0,,,,,0,337,377,89.4,6346,2535,4,0.76,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,6,4,5,83.3,2,5,11,7,0
Stanišić Josip,22,DF,14,4,579,0,0,0,1,0,0,0,,,,,0,577,633,91.2,9398,2772,12,1.87,11,0,0,0,0,1,1,0.16,1,0,0,0,0,0,19,11,12,70.6,9,7,26,11,3
Gravenberch Ryan,20,MF,24,3,576,0,0,0,1,0,11,3,27.3,0.00,0.00,20.6,0,326,373,87.4,4941,1234,25,3.91,22,0,0,3,0,0,1,0.16,1,0,0,0,0,0,17,8,7,53.8,9,9,26,10,0
Ulreich Sven,33,GK,3,3,270,0,0,0,1,0,0,0,,,,,0,110,131,84.0,2282,1531,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,1,1,100.0,0,0,1,0,1
Tel Mathys,17,FW,22,1,417,5,0,0,2,0,20,11,55.0,0.25,0.45,15.0,0,126,157,80.3,1824,257,16,3.46,12,0,1,3,0,0,2,0.43,1,0,1,0,0,0,2,2,1,100.0,5,0,2,2,0
Blind Daley,32,"DF,MF",4,1,134,0,0,0,0,0,1,1,100.0,0.00,0.00,24.8,0,87,100,87.0,1659,659,4,2.69,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2,0,0,0.0,4,2,4,6,0
Wanner Paul,16,MF,2,0,25,0,0,0,1,0,0,0,,,,,0,7,9,77.8,86,27,1,3.60,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,3,1,1,100.0,0,0,3,1,0
Bellingham Jude,19,MF,31,30,"2,691",8,4,1,8,0,66,23,34.8,0.11,0.30,18.0,2,1342,1643,81.7,23692,7381,125,4.18,89,0,16,8,10,2,17,0.57,12,0,3,0,2,0,76,42,34,66.7,51,35,111,30,0
Brandt Julian,26,"MF,FW",32,29,"2,397",9,8,0,2,0,42,26,61.9,0.21,0.35,18.0,1,1053,1368,77.0,16552,4185,133,4.99,87,32,6,2,5,1,20,0.75,14,3,1,0,2,0,29,20,12,27.9,23,15,44,9,1
Kobel Gregor,24,GK,27,27,"2,430",0,0,0,0,0,0,0,,,,,0,871,1049,83.0,22004,13496,4,0.15,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0.0,1,0,0,7,2
Schlotterbeck Nico,22,DF,28,27,"2,252",4,5,0,3,0,18,6,33.3,0.22,0.67,16.9,0,1648,1910,86.3,33135,11360,32,1.28,24,0,2,3,1,2,7,0.28,5,0,0,0,0,2,59,34,37,69.8,38,32,91,71,1
Guerreiro Raphaël,28,"DF,MF",27,26,"2,290",4,12,0,4,0,33,14,42.4,0.12,0.29,19.8,6,1495,1811,82.6,21673,8387,111,4.36,83,17,4,5,1,1,15,0.59,14,1,0,0,0,0,36,20,21,61.8,21,36,72,23,0
Hummels Mats,33,DF,30,24,"2,018",1,0,0,4,0,17,3,17.6,0.06,0.33,10.2,0,1468,1677,87.5,31464,10587,41,1.83,35,1,0,4,0,1,3,0.13,2,0,0,0,0,1,62,34,32,58.2,30,33,95,100,1
Süle Niklas,26,DF,29,23,"2,118",2,3,0,2,0,33,7,21.2,0.06,0.29,17.2,0,1677,1851,90.6,31584,10145,41,1.74,32,0,3,6,0,0,6,0.25,3,0,1,2,0,0,25,19,14,60.9,28,17,42,53,0
Malen Donyell,23,FW,26,22,"1,706",9,6,0,0,0,64,30,46.9,0.14,0.30,15.9,3,463,625,74.1,6680,1678,80,4.22,50,9,12,4,5,0,14,0.74,9,0,3,1,1,0,13,5,5,41.7,14,4,17,11,0
Can Emre,28,MF,27,20,"1,900",2,1,1,8,0,15,2,13.3,0.07,0.50,22.3,0,1153,1288,89.5,20793,5986,46,2.18,43,1,0,1,1,0,3,0.14,3,0,0,0,0,0,57,28,22,51.2,16,25,82,39,1
Adeyemi Karim,20,"FW,MF",24,20,"1,386",6,5,0,9,0,37,14,37.8,0.16,0.43,17.4,0,335,457,73.3,4409,1278,59,3.83,40,0,8,5,4,2,12,0.78,9,0,2,1,0,0,16,11,8,26.7,18,7,23,3,0
Özcan Salih,24,MF,26,17,"1,576",0,1,0,6,0,3,1,33.3,0.00,0.00,9.3,0,882,999,88.3,13911,3887,24,1.37,21,2,0,0,0,1,1,0.06,1,0,0,0,0,0,31,18,16,41.0,24,28,59,19,1
Wolf Marius,27,DF,25,17,"1,570",1,1,0,2,0,23,6,26.1,0.04,0.17,19.4,0,834,1061,78.6,13553,4900,48,2.75,36,0,8,1,2,1,6,0.34,5,0,1,0,0,0,25,18,16,55.2,40,18,43,22,1
