Player,Age,Position,Matches Played,Start,Minutes,Goals,Assists,Penalties Made,Yellow Cards,Red Cards,Shots,Shots On Target,Shots On Target %,Goals Per Shot,Goals Per Shot On Target,Average Shot Distance,Shots From Freekicks,Passes Completed,Passes,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Shot-Creating Actions,Shot-Creating Actions/90,SCA Pass Live,SCA Pass Dead,SCA Take-ons,SCA Shots,SCA Fouls,SCA Defense,Goal-Creating Actions,Goal-Creating Actions/90,Goal Pass Live,Goal Pass Dead,Goal Take-ons,Goal Shots,Goal Fouls,Goal Defense,Tackles,Tackles Won,Challenges,Successful Challenge %,Blocks,Interceptions,Tackles + Interceptions,Clearances,Errors
Donnarumma Gianluigi,23,GK,38,38,"3,409",0,0,0,3,0,0,0,,,,,0,811,935,86.7,16498,10725,1,0.03,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,0,1,50.0,0,0,1,12,4
Messi Lionel,35,"FW,MF",32,32,"2,837",16,16,0,0,0,129,55,42.6,0.12,0.29,18.3,20,1641,2050,80.0,25475,8767,197,6.25,128,30,18,10,9,2,35,1.11,27,2,3,1,2,0,26,18,11,40.7,11,2,28,0,0
Mbappé Kylian,23,FW,34,32,"2,818",29,5,3,6,0,144,73,50.7,0.18,0.36,15.9,1,1096,1355,80.9,14622,3137,143,4.57,96,3,19,15,10,0,23,0.73,12,0,4,5,2,0,10,4,5,31.3,5,5,15,6,0
Ramos Sergio,36,DF,33,31,"2,704",2,1,0,3,1,19,7,36.8,0.11,0.29,14.6,1,2394,2535,94.4,46077,15119,21,0.70,16,0,0,2,3,0,1,0.03,1,0,0,0,0,0,34,26,23,52.3,29,34,68,93,3
Marquinhos,28,DF,33,30,"2,717",2,0,0,4,0,18,4,22.2,0.11,0.50,9.2,0,2068,2175,95.1,35716,12062,19,0.63,15,1,0,3,0,0,2,0.07,2,0,0,0,0,0,33,25,18,69.2,43,23,56,83,2
Vitinha,22,MF,36,29,"2,446",2,3,0,3,0,31,11,35.5,0.06,0.18,20.5,0,1786,1945,91.8,26148,5772,73,2.69,63,2,0,4,2,2,10,0.37,8,0,0,1,1,0,58,25,27,32.5,27,25,83,15,0
Pereira Danilo,30,"DF,MF",33,27,"2,410",2,0,0,3,0,22,5,22.7,0.09,0.40,12.7,0,1950,2068,94.3,32419,10970,23,0.86,19,0,0,2,1,1,2,0.07,2,0,0,0,0,0,32,17,19,73.1,26,36,68,59,1
Verratti Marco,29,MF,29,27,"2,194",0,0,0,10,1,8,4,50.0,0.00,0.00,17.8,0,2383,2573,92.6,36470,12516,83,3.41,78,2,1,1,0,1,9,0.37,8,0,0,0,0,1,76,49,38,42.7,42,27,103,11,3
Hakimi Achraf,23,"DF,MF",28,23,"2,053",5,3,0,7,2,18,9,50.0,0.28,0.56,14.9,0,1373,1538,89.3,17560,4800,75,3.29,64,1,4,2,2,2,9,0.39,5,0,1,1,1,1,54,34,31,52.5,34,16,70,19,0
Ruiz Peña Fabián,26,MF,27,21,"1,892",3,2,0,0,0,26,9,34.6,0.12,0.33,18.2,0,1614,1763,91.5,24039,6080,41,1.95,37,0,1,2,0,1,6,0.29,6,0,0,0,0,0,62,28,43,54.4,24,18,80,23,1
