Player,Age,Position,Matches Played,Start,Minutes,Goals,Assists,Penalties Made,Yellow Cards,Red Cards,Shots,Shots On Target,Shots On Target %,Goals Per Shot,Goals Per Shot On Target,Average Shot Distance,Shots From Freekicks,Passes Completed,Passes,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Shot-Creating Actions,Shot-Creating Actions/90,SCA Pass Live,SCA Pass Dead,SCA Take-ons,SCA Shots,SCA Fouls,SCA Defense,Goal-Creating Actions,Goal-Creating Actions/90,Goal Pass Live,Goal Pass Dead,Goal Take-ons,Goal Shots,Goal Fouls,Goal Defense,Tackles,Tackles Won,Challenges,Successful Challenge %,Blocks,Interceptions,Tackles + Interceptions,Clearances,Errors
ter Stegen Marc-André,30,GK,38,38,"3,347",0,0,0,0,0,0,0,,,,,0,1193,1412,84.5,30703,21527,12,0.32,11,1,0,0,0,0,1,0.03,1,0,0,0,0,0,0,0,0,,0,1,1,7,3
Lewandowski Robert,33,FW,34,33,"2,847",23,7,0,4,1,134,56,41.8,0.17,0.41,13.8,5,602,793,75.9,8306,1669,91,2.88,68,1,6,12,4,0,16,0.51,10,0,1,5,0,0,17,11,7,50.0,20,2,19,14,0
Gavi,17,"MF,FW",36,30,"2,531",2,4,0,10,0,28,8,28.6,0.07,0.25,16.6,0,1026,1206,85.1,14584,2930,72,2.56,59,0,3,4,3,3,7,0.25,6,0,1,0,0,0,47,31,21,38.2,32,18,65,22,0
Balde Alejandro,18,DF,33,30,"2,471",1,6,0,4,0,19,4,21.1,0.05,0.25,17.9,0,1482,1670,88.7,21525,4340,66,2.40,50,0,8,2,5,1,8,0.29,8,0,0,0,0,0,42,30,24,58.5,25,12,54,17,1
Jong Frenkie,25,MF,33,29,"2,534",2,4,0,3,0,18,10,55.6,0.11,0.20,17.8,0,2089,2320,90.0,33411,10589,110,3.91,94,5,6,2,1,2,11,0.39,10,1,0,0,0,0,46,26,17,41.5,11,35,81,22,1
Koundé Jules,23,DF,29,28,"2,426",1,3,0,2,0,14,1,7.1,0.07,1.00,14.3,0,1775,2024,87.7,29836,9690,41,1.52,39,1,0,1,0,0,7,0.26,7,0,0,0,0,0,37,23,21,67.7,24,19,56,61,3
Busquets Sergio,34,MF,30,28,"2,339",0,4,0,8,1,9,2,22.2,0.00,0.00,23.5,0,1722,1949,88.4,30610,9017,74,2.85,68,0,0,1,4,1,6,0.23,6,0,0,0,0,0,58,26,29,56.9,32,27,85,36,2
Raphinha,25,FW,36,25,"2,072",7,7,0,9,0,79,25,31.6,0.09,0.28,18.5,11,915,1266,72.3,15558,3922,117,5.08,77,22,4,9,4,1,15,0.65,13,0,1,1,0,0,29,19,11,35.5,33,14,43,11,1
Pedri,19,MF,26,22,"1,976",6,1,0,2,0,22,9,40.9,0.27,0.67,15.9,0,1251,1449,86.3,22516,4967,87,3.96,74,6,1,2,3,1,11,0.50,11,0,0,0,0,0,39,22,13,28.9,27,13,52,8,1
Christensen Andreas,26,DF,23,22,"1,760",1,1,0,2,0,10,5,50.0,0.10,0.20,12.2,0,1416,1507,94.0,25804,8685,15,0.77,15,0,0,0,0,0,2,0.10,2,0,0,0,0,0,20,15,10,62.5,14,21,41,47,0
