Player,Age,Position,Matches Played,Start,Minutes,Goals,Assists,Penalties Made,Yellow Cards,Red Cards,Shots,Shots On Target,Shots On Target %,Goals Per Shot,Goals Per Shot On Target,Average Shot Distance,Shots From Freekicks,Passes Completed,Passes,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Shot-Creating Actions,Shot-Creating Actions/90,SCA Pass Live,SCA Pass Dead,SCA Take-ons,SCA Shots,SCA Fouls,SCA Defense,Goal-Creating Actions,Goal-Creating Actions/90,Goal Pass Live,Goal Pass Dead,Goal Take-ons,Goal Shots,Goal Fouls,Goal Defense,Tackles,Tackles Won,Challenges,Successful Challenge %,Blocks,Interceptions,Tackles + Interceptions,Clearances,Errors
Ederson,28,GK,35,35,"3,150",0,1,0,3,0,0,0,,,,,0,1079,1257,85.8,26248,17275,2,0.06,2,0,0,0,0,0,1,0.03,1,0,0,0,0,0,3,1,1,50.0,0,1,4,10,2
Rodri,26,MF,36,34,"2,911",2,6,0,5,0,50,14,28.0,0.04,0.14,17.1,0,2723,2987,91.2,49949,11936,92,2.84,80,0,4,6,1,1,10,0.31,10,0,0,0,0,0,67,41,26,50.0,40,33,100,43,1
Haaland Erling,22,FW,35,33,"2,769",36,8,7,5,0,116,53,45.7,0.25,0.55,12.6,0,360,500,72.0,4403,947,72,2.34,48,0,5,10,8,1,17,0.55,14,0,0,1,2,0,3,2,1,20.0,12,3,6,14,0
De Bruyne Kevin,31,MF,32,28,"2,417",7,16,0,1,0,65,21,32.3,0.11,0.33,23.0,7,1192,1626,73.3,22165,6516,176,6.55,120,33,8,7,5,3,31,1.15,24,3,1,1,2,0,28,12,14,35.9,27,9,37,10,0
Gündoğan İlkay,31,MF,31,27,"2,353",8,4,0,0,0,53,20,37.7,0.15,0.40,18.1,5,1374,1578,87.1,21396,4941,90,3.44,71,7,2,4,4,2,17,0.65,13,1,0,1,2,0,30,18,12,36.4,18,20,50,13,0
Akanji Manuel,27,DF,29,24,"2,287",0,1,0,2,0,15,2,13.3,0.00,0.00,15.9,0,1912,2056,93.0,32634,10258,23,0.91,22,0,0,1,0,0,0,0.00,0,0,0,0,0,0,36,25,23,63.9,27,16,52,33,0
Silva Bernardo,27,"MF,FW",34,24,"2,205",4,5,0,5,0,25,9,36.0,0.16,0.44,18.1,0,1317,1543,85.4,20840,3604,75,3.06,65,1,4,1,3,1,12,0.49,11,0,0,0,1,0,44,23,18,40.9,23,16,60,6,0
Grealish Jack,26,FW,28,23,"2,055",5,7,0,4,0,41,15,36.6,0.12,0.33,15.4,0,902,1072,84.1,13270,2584,104,4.55,71,7,6,6,13,1,20,0.88,14,1,0,1,3,1,25,16,13,59.1,17,7,32,9,0
Dias Rúben,25,DF,26,22,"1,998",0,0,0,3,0,10,2,20.0,0.00,0.00,9.1,0,1928,2080,92.7,35553,12572,15,0.68,11,1,0,3,0,0,1,0.05,1,0,0,0,0,0,21,13,11,61.1,21,18,39,56,1
Walker Kyle,32,DF,27,22,"1,958",0,0,0,3,0,5,1,20.0,0.00,0.00,24.8,0,1661,1892,87.8,29177,8283,25,1.15,22,2,0,0,0,1,3,0.14,3,0,0,0,0,0,13,9,4,16.7,12,18,31,22,0
