Player,Age,Position,Matches Played,Start,Minutes,Goals,Assists,Penalties Made,Yellow Cards,Red Cards,Shots,Shots On Target,Shots On Target %,Goals Per Shot,Goals Per Shot On Target,Average Shot Distance,Shots From Freekicks,Passes Completed,Passes,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Shot-Creating Actions,Shot-Creating Actions/90,SCA Pass Live,SCA Pass Dead,SCA Take-ons,SCA Shots,SCA Fouls,SCA Defense,Goal-Creating Actions,Goal-Creating Actions/90,Goal Pass Live,Goal Pass Dead,Goal Take-ons,Goal Shots,Goal Fouls,Goal Defense,Tackles,Tackles Won,Challenges,Successful Challenge %,Blocks,Interceptions,Tackles + Interceptions,Clearances,Errors
Di Lorenzo Giovanni,28,DF,37,36,"3,257",3,4,0,2,0,31,13,41.9,0.10,0.23,11.8,0,2272,2687,84.6,36646,12660,111,3.07,93,5,1,6,3,3,13,0.36,13,0,0,0,0,0,60,29,25,51.0,30,30,90,60,0
Zambo Anguissa Andre-Frank,26,MF,36,36,"3,050",3,5,0,3,0,50,15,30.0,0.06,0.20,18.1,1,1988,2261,87.9,28244,6636,79,2.33,67,0,0,5,3,4,9,0.27,9,0,0,0,0,0,53,32,16,25.0,50,49,102,25,0
Min-jae Kim,25,DF,35,35,"3,050",2,2,0,5,0,8,3,37.5,0.25,0.67,6.6,0,2552,2812,90.8,46165,17303,37,1.09,34,0,0,1,0,2,3,0.09,2,0,0,1,0,0,55,30,25,86.2,36,41,96,123,1
Lobotka Stanislav,27,MF,38,34,"3,101",1,1,0,2,0,11,4,36.4,0.09,0.25,22.3,0,2163,2301,94.0,35855,8577,70,2.03,58,1,1,2,5,3,8,0.23,6,1,0,1,0,0,83,44,43,58.9,29,23,106,16,0
Meret Alex,25,GK,34,34,"3,060",0,0,0,0,0,0,0,,,,,0,818,931,87.9,18824,11619,1,0.03,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,,0,0,0,6,1
Osimhen Victor,23,FW,32,30,"2,566",26,4,2,4,0,132,52,39.4,0.18,0.46,12.8,1,276,400,69.0,3890,582,80,2.80,54,0,5,11,8,2,9,0.32,6,0,0,1,2,0,10,6,0,0.0,6,6,16,29,0
Kvaratskhelia Khvicha,21,FW,34,30,"2,518",12,10,2,1,0,83,30,36.1,0.12,0.33,19.1,3,900,1136,79.2,12766,2560,136,4.86,90,3,20,13,8,2,24,0.86,10,1,3,6,4,0,43,23,17,39.5,20,5,48,6,1
Rrahmani Amir,28,DF,29,27,"2,448",2,1,0,2,0,21,3,14.3,0.10,0.67,13.4,0,1977,2167,91.2,39821,13543,26,0.96,23,0,1,1,0,1,4,0.15,4,0,0,0,0,0,33,18,17,65.4,36,14,47,79,1
Zieliński Piotr,28,MF,37,27,"2,287",3,8,0,3,0,53,19,35.8,0.06,0.16,22.4,6,1300,1552,83.8,18650,5534,135,5.31,85,37,4,3,6,0,12,0.47,8,3,0,1,0,0,17,10,12,48.0,16,14,31,7,0
Rui Mário,31,DF,22,21,"1,749",0,6,0,2,1,11,4,36.4,0.00,0.00,21.9,2,1408,1734,81.2,25486,8770,87,4.48,63,21,1,0,1,1,13,0.67,11,1,0,0,0,1,34,22,20,48.8,17,15,49,24,1
Lozano Hirving,27,FW,32,20,"1,605",3,3,1,3,0,41,13,31.7,0.05,0.15,18.5,0,441,588,75.0,6393,1550,68,3.82,52,0,7,4,2,3,8,0.45,7,0,0,1,0,0,24,13,9,42.9,31,15,39,6,0
Olivera Mathías,24,DF,30,17,"1,643",2,2,0,2,0,9,4,44.4,0.22,0.50,12.8,0,1200,1381,86.9,16376,4940,43,2.35,37,3,1,1,0,1,3,0.16,3,0,0,0,0,0,39,23,22,51.2,28,22,61,26,0
Elmas Elif,22,"FW,MF",36,14,"1,627",6,3,1,5,0,32,10,31.3,0.16,0.50,17.7,1,879,1012,86.9,12087,2837,57,3.15,41,6,6,2,2,0,10,0.55,7,1,1,1,0,0,24,13,11,47.8,18,11,35,5,0
Politano Matteo,28,FW,27,14,"1,166",3,3,2,1,0,30,6,20.0,0.03,0.17,20.7,1,468,641,73.0,7418,2472,71,5.48,45,8,8,6,4,0,4,0.31,3,0,0,1,0,0,18,9,11,44.0,6,7,25,7,0
Jesus Juan,31,DF,15,10,933,1,0,0,2,0,5,1,20.0,0.20,1.00,17.3,0,669,742,90.2,12151,4256,13,1.25,10,0,0,2,0,1,1,0.10,1,0,0,0,0,0,16,11,9,75.0,18,10,26,29,0
Raspadori Giacomo,22,"FW,MF",25,10,911,2,2,0,1,0,41,16,39.0,0.05,0.13,17.1,3,348,452,77.0,5535,1098,43,4.26,27,8,1,5,2,0,3,0.30,2,1,0,0,0,0,10,8,4,40.0,9,4,14,4,0
Ndombele Tanguy,25,MF,30,8,807,1,0,0,5,0,16,2,12.5,0.06,0.50,22.4,0,504,574,87.8,6796,1666,20,2.24,15,0,1,1,3,0,0,0.00,0,0,0,0,0,0,14,8,4,57.1,10,7,21,7,1
Skiri Østigård Leo,22,DF,7,4,419,0,0,0,1,0,3,0,0.0,0.00,,20.5,0,306,357,85.7,6056,2161,2,0.43,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,4,1,1,100.0,3,6,10,18,1
Gollini Pierluigi,27,GK,4,4,360,0,0,0,0,0,0,0,,,,,0,136,159,85.5,3405,2362,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,,0,0,0,1,0
Zerbin Alessio,23,FW,10,2,198,0,0,0,1,0,5,3,60.0,0.00,0.00,19.1,0,56,78,71.8,721,132,2,0.92,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,10,5,4,50.0,2,2,12,2,0
Bereszyński Bartosz,30,DF,3,2,166,0,1,0,1,0,0,0,,,,,0,87,105,82.9,1252,420,2,1.09,2,0,0,0,0,0,1,0.55,1,0,0,0,0,0,3,2,2,100.0,4,3,6,3,0
Demme Diego,30,MF,7,2,146,0,0,0,0,0,0,0,,,,,0,181,191,94.8,3026,924,3,1.85,3,0,0,0,0,0,1,0.62,1,0,0,0,0,0,1,0,0,0.0,2,0,1,1,0
Simeone Giovanni,27,FW,25,1,406,4,1,0,1,0,14,8,57.1,0.29,0.50,17.5,0,76,106,71.7,1016,178,11,2.43,10,0,0,1,0,0,3,0.66,3,0,0,0,0,0,12,3,3,37.5,2,1,13,4,0
Gaetano Gianluca,22,MF,8,0,76,1,1,0,0,0,7,5,71.4,0.14,0.20,18.3,0,48,62,77.4,655,152,5,6.62,4,0,0,1,0,0,1,1.32,1,0,0,0,0,0,5,3,0,,1,1,6,0,0
