Players,Values
Kylian Mbappé,160000000.0
Erling Haaland,150000000.0
Vinicius Junior,100000000.0
Harry Kane,90000000.0
Mohamed Salah,90000000.0
Phil Foden,90000000.0
Dusan Vlahovic,85000000.0
Kevin De Bruyne,85000000.0
Bruno Fernandes,85000000.0
Trent Alexander-Arnold,80000000.0
Bernardo Silva,80000000.0
Declan Rice,80000000.0
Christopher Nkunku,80000000.0
Jude Bellingham,80000000.0
Joshua Kimmich,80000000.0
Rodri,80000000.0
Pedri,80000000.0
Neymar,75000000.0
Lautaro Martínez,75000000.0
Rúben Dias,75000000.0
Heung-min Son,75000000.0
Jadon Sancho,75000000.0
Mason Mount,75000000.0
Florian Wirtz,70000000.0
Nicolò Barella,70000000.0
Sergej Milinković-Savić,70000000.0
Rafael Leão,70000000.0
Matthijs de Ligt,70000000.0
Alphonso Davies,70000000.0
Marquinhos,70000000.0
João Félix,70000000.0
Federico Valverde,70000000.0
Kai Havertz,70000000.0
Sadio Mané,70000000.0
Romelu Lukaku,70000000.0
Jack Grealish,70000000.0
Raheem Sterling,70000000.0
Serge Gnabry,65000000.0
Jamal Musiala,65000000.0
Leon Goretzka,65000000.0
Achraf Hakimi,65000000.0
Federico Chiesa,65000000.0
Milan Skriniar,65000000.0
Victor Osimhen,65000000.0
Bukayo Saka,65000000.0
Luis Díaz,65000000.0
João Cancelo,65000000.0
Andrew Robertson,65000000.0
Kingsley Coman,60000000.0
Reece James,60000000.0
Diogo Jota,60000000.0
Aurélien Tchouaméni,60000000.0
Jules Koundé,60000000.0
Leroy Sané,60000000.0
Moussa Diaby,60000000.0
Éder Militão,60000000.0
Fabinho,60000000.0
Mikel Oyarzabal,60000000.0
Thibaut Courtois,60000000.0
Ansu Fati,60000000.0
Alessandro Bastoni,60000000.0
Gavi,60000000.0
Frenkie de Jong,60000000.0
Rodrygo,60000000.0
Marcus Rashford,60000000.0
David Alaba,55000000.0
Eduardo Camavinga,55000000.0
Eduardo Camavinga,55000000.0
Virgil van Dijk,55000000.0
Theo Hernández,55000000.0
Fabián Ruiz,55000000.0
Lionel Messi,50000000.0
Marco Verratti,50000000.0
Patrik Schick,50000000.0
Alisson,50000000.0
Gabriel Jesus,50000000.0
Tammy Abraham,50000000.0
Sandro Tonali,50000000.0
Fikayo Tomori,50000000.0
Tammy Abraham,50000000.0
Lucas Hernández,50000000.0
Gianluigi Donnarumma,50000000.0
Mikel Merino,50000000.0
Pau Torres,50000000.0
Ronald Araújo,50000000.0
Carlos Soler,50000000.0
Arnaut Danjuma,50000000.0
José María Giménez,50000000.0
Richarlison,48000000.0
Cristian Romero,48000000.0
Raphaël Varane,48000000.0
Paul Pogba,48000000.0
Marcos Llorente,45000000.0
Aymeric Laporte,45000000.0
Ferran Torres,45000000.0
Ederson,45000000.0
Tomas Soucek,45000000.0
Martin Ødegaard,45000000.0
Ferran Torres,45000000.0
Lorenzo Pellegrini,45000000.0
Robert Lewandowski,45000000.0
Ángel Correa,45000000.0
Jan Oblak,45000000.0
Jonathan David,45000000.0
Franck Kessié,45000000.0
Mateo Kovacic,42000000.0
Christian Pulisic,42000000.0
Amine Gouiri,42000000.0
Jarrod Bowen,42000000.0
Marcelo Brozovic,40000000.0
