Players,Values
Manuel Neuer,€15.00m 
Sven Ulreich,€900k 
Christian Früchtl,€600k 
Ron-Thorben Hoffmann,€500k 
Lucas Hernández,€50.00m 
Dayot Upamecano,€40.00m 
Niklas Süle,€35.00m 
Tanguy Nianzou,€9.00m 
Chris Richards,€7.50m 
Bright Arrey-Mbi,€1.30m 
Jamie Lawrence,€1.00m 
Alphonso Davies,€70.00m 
Omar Richards,€7.00m 
Benjamin Pavard,€30.00m 
Josip Stanisic,€4.00m 
Bouna Sarr,€2.50m 
Joshua Kimmich,€80.00m 
Marc Roca,€7.00m 
Nicolas Feldhahn,€125k 
Leon Goretzka,€65.00m 
Marcel Sabitzer,€15.00m 
Corentin Tolisso,€15.00m 
Michaël Cuisance,€4.00m 
Taylor Booth,€1.00m 
Timo Kern,€200k 
Jamal Musiala,€65.00m 
Paul Wanner,€2.00m 
Malik Tillman,€1.50m 
Kingsley Coman,€60.00m 
Gabriel Vidovic,€3.00m 
Nemanja Motika,€1.20m 
Serge Gnabry,€65.00m 
Leroy Sané,€60.00m 
Thomas Müller,€22.00m 
Robert Lewandowski,€45.00m 
Eric Maxim Choupo-Moting,€3.00m 
Lucas Copado,€1.00m 
Lukas Hradecky,€5.00m 
Andrey Lunev,€2.50m 
Lennart Grill,€1.00m 
Niklas Lomb,€250k 
Edmond Tapsoba,€35.00m 
Jonathan Tah,€25.00m 
Odilon Kossounou,€20.00m 
Piero Hincapié,€17.00m 
Panagiotis Retsos,€2.80m 
Mitchel Bakker,€14.00m 
Wendell,€5.00m 
Daley Sinkgraven,€4.00m 
Jeremie Frimpong,€20.00m 
Timothy Fosu-Mensah,€4.00m 
Mitchell Weiser,€1.50m 
Robert Andrich,€13.00m 
Julian Baumgartlinger,€800k 
Kerem Demirbay,€15.00m 
Exequiel Palacios,€15.00m 
Nadiem Amiri,€8.00m 
Charles Aránguiz,€3.50m 
Zidan Sertdemir,€2.00m 
Florian Wirtz,€70.00m 
Amine Adli,€12.00m 
Paulinho,€11.00m 
Moussa Diaby,€60.00m 
Karim Bellarabi,€3.00m 
Patrik Schick,€50.00m 
Sardar Azmoun,€22.00m 
Lucas Alario,€8.00m 
Joel Pohjanpalo,€2.50m 
Emrehan Gedikli,€1.20m 
Iker Bravo,€1.00m 
Gregor Kobel,€22.00m 
Luca Unbehaun,€1.50m 
Roman Bürki,€1.50m 
Marwin Hitz,€1.00m 
Stefan Drljaca,€200k 
Manuel Akanji,€30.00m 
Dan-Axel Zagadou,€9.00m 
Mats Hummels,€6.50m 
Marin Pongracic,€6.00m 
Soumaïla Coulibaly,€750k 
Antonios Papadopoulos,€350k 
Raphaël Guerreiro,€25.00m 
Nico Schulz,€4.00m 
Tom Rothe,€1.20m 
Marcel Schmelzer,€500k 
Thomas Meunier,€6.50m 
Marius Wolf,€6.50m 
Mateu Morey Bauzà,€4.00m 
Felix Passlack,€1.50m 
Lion Semic,€500k 
Emre Can,€16.00m 
Axel Witsel,€4.00m 
Abdoulaye Kamara,€1.00m 
Lennard Maloney,€350k 
Jude Bellingham,€80.00m 
Mahmoud Dahoud,€18.00m 
Thomas Delaney,€7.00m 
Tobias Raschl,€1.00m 
Marco Pasalic,€275k 
Giovanni Reyna,€35.00m 
Julian Brandt,€25.00m 
Marco Reus,€11.00m 
Reinier,€8.00m 
Immanuel Pherai,€700k 
Göktan Gürpüz,€250k 
Thorgan Hazard,€15.00m 
Jamie Bynoe-Gittens,€4.00m 
Donyell Malen,€27.00m 
Ansgar Knauff,€10.00m 
Justin Njinmah,€400k 
Erling Haaland,€150.00m 
Youssoufa Moukoko,€15.00m 
Steffen Tigges,€1.50m 
Péter Gulácsi,€8.00m 
Josep Martínez,€2.20m 
Philipp Tschauner,€300k 
Fabian Eutinger,€100k 
Josko Gvardiol,€35.00m 
Mohamed Simakan,€22.00m 
Willi Orbán,€10.00m 
Angeliño,€30.00m 
Marcel Halstenberg,€5.00m 
Nordi Mukiele,€20.00m 
Lukas Klostermann,€18.00m 
Benjamin Henrichs,€14.00m 
Solomon Bonnah,€750k 
Tyler Adams,€17.00m 
Konrad Laimer,€28.00m 
Amadou Haidara,€24.00m 
Marcel Sabitzer,€15.00m 
Ilaix Moriba,€9.00m 
Kevin Kampl,€6.00m 
Sidney Raebiger,€750k 
Ben Klefisch,€200k 
Dani Olmo,€40.00m 
Dominik Szoboszlai,€28.00m 
Emil Forsberg,€11.00m 
Hugo Novoa,€3.00m 
Joscha Wosz,€350k 
Fabrice Hartmann,€300k 
Christopher Nkunku,€80.00m 
André Silva,€32.00m 
Hee-chan Hwang,€16.00m 
Yussuf Poulsen,€14.00m 
Brian Brobbey,€9.00m 
Kevin Trapp,€7.00m 
Diant Ramaj,€750k 
Jens Grahl,€200k 
Jannik Horz,€200k 
Evan Ndicka,€32.00m 
Tuta,€13.00m 
Martin Hinteregger,€9.00m 
Almamy Touré,€3.50m 
Makoto Hasebe,€800k 
Christopher Lenz,€4.00m 
Jan Schröder,€200k 
Danny da Costa,€2.30m 
Timothy Chandler,€1.20m 
Erik Durm,€1.20m 
Kristijan Jakic,€9.00m 
Stefan Ilsanker,€1.00m 
Djibril Sow,€22.00m 
Sebastian Rode,€2.50m 
Aymen Barkok,€1.80m 
Antonio Foti,€400k 
Filip Kostic,€24.00m 
Daichi Kamada,€22.00m 
Jesper Lindström,€17.00m 
Ajdin Hrustic,€3.00m 
Steven Zuber,€2.50m 
Amin Younes,€1.50m 
Fabio Blanco,€750k 
Gianluca Schäfer,€150k 
Ansgar Knauff,€10.00m 
Jens Petter Hauge,€8.00m 
Rafael Borré,€20.00m 
Sam Lammers,€3.00m 
Gonçalo Paciência,€3.00m 
Ragnar Ache,€1.50m 
Enrique Herrero,€300k 
Koen Casteels,€11.00m 
Pavao Pervan,€600k 
Philipp Schulze,€200k 
Niklas Klinger,€100k 
Maxence Lacroix,€20.00m 
Sebastiaan Bornauw,€10.00m 
John Anthony Brooks,€7.00m 
Marin Pongracic,€6.00m 
Micky van de Ven,€4.00m 
Anselmo García MacNulty,€300k 
Paulo Otávio,€6.00m 
Jérôme Roussillon,€4.50m 
Ridle Baku,€20.00m 
Kevin Mbabu,€9.00m 
William,€2.50m 
Jannis Lang,€200k 
Josuha Guilavogui,€3.50m 
Xaver Schlager,€27.00m 
Maximilian Arnold,€17.00m 
Aster Vranckx,€10.00m 
Yannick Gerhardt,€6.00m 
Kevin Paredes,€5.00m 
Felix Nmecha,€2.00m 
Josip Brekalo,€15.00m 
Dodi Lukébakio,€7.50m 
Renato Steffen,€2.00m 
Luca Waldschmidt,€7.00m 
Maximilian Philipp,€4.50m 
Max Kruse,€3.50m 
Admir Mehmedi,€1.00m 
Lukas Nmecha,€18.00m 
Wout Weghorst,€14.00m 
Jonas Wind,€14.00m 
Omar Marmoush,€6.00m 
Bartosz Bialek,€4.00m 
Daniel Ginczek,€900k 
Mark Flekken,€7.00m 
Noah Atubolu,€1.50m 
Benjamin Uphoff,€500k 
Nico Schlotterbeck,€33.00m 
Philipp Lienhart,€18.00m 
Keven Schlotterbeck,€3.00m 
Dominique Heintz,€2.50m 
Manuel Gulde,€1.70m 
Kenneth Schmidt,€500k 
Christian Günter,€12.00m 
Hugo Siquet,€5.50m 
Lukas Kübler,€2.30m 
Kiliann Sildillia,€1.50m 
Jonathan Schmid,€1.20m 
Baptiste Santamaria,€14.00m 
Yannik Keitel,€4.00m 
Nicolas Höfler,€2.50m 
Yannik Engelhardt,€400k 
Maximilian Eggestein,€8.00m 
Janik Haberer,€3.50m 
Robert Wagner,€500k 
Kimberly Ezekwem,€300k 
Vincenzo Grifo,€12.00m 
Noah Weißhaupt,€1.70m 
Nishan Burkart,€350k 
Roland Sallai,€12.00m 
Kevin Schade,€7.00m 
Woo-yeong Jeong,€5.50m 
Lucas Höler,€6.50m 
Ermedin Demirovic,€6.00m 
Nils Petersen,€1.50m 
Vincent Vermeij,€400k 
Yann Sommer,€5.00m 
Tobias Sippel,€400k 
Jan Olschowsky,€300k 
Jonas Kersken,€100k 
Matthias Ginter,€18.00m 
Nico Elvedi,€18.00m 
Marvin Friedrich,€8.00m 
Jordan Beyer,€4.50m 
Tony Jantschke,€800k 
Tom Gaal,€100k 
Mamadou Doucouré,€100k 
Ramy Bensebaini,€17.00m 
Luca Netz,€6.50m 
Keanan Bennetts,€1.00m 
Joe Scally,€8.00m 
Stefan Lainer,€4.50m 
Denis Zakaria,€27.00m 
Christoph Kramer,€2.50m 
Florian Neuhaus,€20.00m 
Manu Koné,€18.00m 
László Bénes,€3.00m 
Lars Stindl,€2.50m 
Conor Noß,€700k 
Torben Müsel,€400k 
Alassane Plea,€15.00m 
Hannes Wolf,€5.00m 
Mika Schroers,€100k 
Jonas Hofmann,€13.00m 
Patrick Herrmann,€2.30m 
Marcus Thuram,€20.00m 
Breel Embolo,€15.00m 
Frederik Rönnow,€2.00m 
Andreas Luthe,€800k 
Jakob Busk,€250k 
Marvin Friedrich,€8.00m 
Paul Jaeckel,€5.00m 
Timo Baumgartl,€5.00m 
Robin Knoche,€5.00m 
Dominique Heintz,€2.50m 
Rick van Drongelen,€1.50m 
Sebastian Griesbeck,€700k 
Mathis Bruns,€200k 
Tymoteusz Puchacz,€2.30m 
Niko Gießelmann,€2.30m 
Bastian Oczipka,€600k 
Julian Ryerson,€4.00m 
Christopher Trimmel,€900k 
Robert Andrich,€13.00m 
Rani Khedira,€6.00m 
Grischa Prömel,€7.50m 
András Schäfer,€2.00m 
Levin Öztunali,€1.50m 
Kevin Möhwald,€1.50m 
Fabio Schneider,€200k 
Maximilian Somnitz,€200k 
Pawel Wszolek,€1.20m 
Laurenz Dehl,€250k 
Genki Haraguchi,€2.50m 
Keita Endo,€900k 
Sheraldo Becker,€7.00m 
Max Kruse,€3.50m 
Taiwo Awoniyi,€20.00m 
Marcus Ingvartsen,€2.50m 
Andreas Voglsammer,€1.20m 
Sven Michel,€1.20m 
Cedric Teuchert,€900k 
Kevin Behrens,€900k 
Anthony Ujah,€500k 
Suleiman Abdullahi,€400k 
Rafal Gikiewicz,€1.20m 
Tomas Koubek,€1.00m 
Daniel Klein,€200k 
Reece Oxford,€12.00m 
Felix Uduokhai,€10.00m 
Jeffrey Gouweleeuw,€3.50m 
Frederik Winther,€1.00m 
Iago,€5.50m 
Mads Pedersen,€2.00m 
Lasse Günther,€1.00m 
Robert Gumny,€2.50m 
Raphael Framberger,€1.50m 
Niklas Dorsch,€10.00m 
Carlos Gruezo,€3.20m 
Tobias Strobl,€900k 
Arne Maier,€5.50m 
Jan Moravek,€500k 
Tim Civeja,€200k 
Dominic Schmidt,€100k 
Fredrik Jensen,€1.50m 
Rubén Vargas,€8.00m 
André Hahn,€2.00m 
Noah Joel Sarenren Bazee,€1.00m 
Daniel Caligiuri,€800k 
Ricardo Pepi,€9.00m 
Michael Gregoritsch,€4.50m 
Andi Zeqiri,€2.30m 
Florian Niederlechner,€2.20m 
Sergio Córdova,€1.00m 
Alfred Finnbogason,€700k 
Maurice Malone,€500k 
Florian Müller,€5.50m 
Fabian Bredlow,€500k 
Florian Schock,€200k 
Konstantinos Mavropanos,€15.00m 
Waldemar Anton,€6.00m 
Marc Oliver Kempf,€4.50m 
Hiroki Ito,€4.50m 
Clinton Mola,€1.00m 
Matej Maglica,€900k 
Borna Sosa,€23.00m 
Pascal Stenzel,€1.50m 
Wataru Endo,€8.00m 
Atakan Karazor,€4.50m 
Luca Bazzoli,€225k 
Richard Weil,€50k 
Orel Mangala,€15.00m 
Enzo Millot,€2.00m 
Nikolas Nartey,€1.80m 
Naouirou Ahamada,€1.50m 
Falko Michel,€250k 
Philipp Förster,€2.50m 
Mateo Klimowicz,€2.00m 
Erik Thommy,€1.80m 
Philipp Klement,€1.00m 
Ömer Beyaz,€1.00m 
Lilian Egloff,€800k 
Daniel Didavi,€500k 
Roberto Massimo,€2.00m 
Darko Churlinov,€1.30m 
Alexis Tibidi,€1.20m 
Silas,€15.00m 
Tanguy Coulibaly,€2.50m 
Chris Führich,€4.00m 
Sasa Kalajdzic,€25.00m 
Tiago Tomás,€7.00m 
Omar Marmoush,€6.00m 
Wahid Faghir,€3.00m 
Mohamed Sankoh,€1.00m 
Hamadi Al-Ghaddioui,€700k 
Robin Zentner,€5.00m 
Finn Dahmen,€1.50m 
Lasse Rieß,€200k 
Moussa Niakhaté,€18.00m 
Jerry St. Juste,€16.00m 
Luca Kilian,€4.50m 
Stefan Bell,€2.50m 
Alexander Hack,€2.50m 
David Nemeth,€2.30m 
Aarón Martín,€5.00m 
Anderson Lucoqui,€1.80m 
Silvan Widmer,€5.00m 
Daniel Brosinski,€500k 
Anton Stach,€13.00m 
Niklas Tauer,€1.50m 
Stephan Fürstner,€75k 
Leandro Barreiro,€8.00m 
Dominik Kohr,€5.00m 
Edimilson Fernandes,€2.00m 
Merveille Papela,€400k 
Eniss Shabani,€200k 
Timothé Rupil,€100k 
Jean-Paul Boëtius,€4.00m 
Jae-sung Lee,€3.00m 
Kevin Stöger,€1.60m 
Paul Nebel,€1.30m 
Kaito Mizuta,€150k 
Romario Rösch,€150k 
Delano Burgzorg,€2.00m 
Ben Bobzien,€250k 
Jonathan Burkardt,€17.00m 
Karim Onisiwo,€3.50m 
Marcus Ingvartsen,€2.50m 
Ádám Szalai,€500k 
Oliver Baumann,€4.50m 
Philipp Pentke,€300k 
Luca Philipp,€300k 
