Players,Values
Gianluigi Donnarumma,€50.00m 
Keylor Navas,€8.00m 
Sergio Rico,€4.00m 
Alexandre Letellier,€400k 
Garissone Innocent,€300k 
Denis Franchi,€250k 
Marquinhos,€70.00m 
Presnel Kimpembe,€40.00m 
Thilo Kehrer,€22.00m 
Abdou Diallo,€18.00m 
Sergio Ramos,€6.00m 
El Chadaille Bitshiabu,€2.00m 
Nuno Mendes,€40.00m 
Juan Bernat,€12.00m 
Layvin Kurzawa,€5.00m 
Teddy Alloh,€400k 
Achraf Hakimi,€65.00m 
Colin Dagba,€7.00m 
Leandro Paredes,€17.00m 
Danilo Pereira,€14.00m 
Marco Verratti,€50.00m 
Georginio Wijnaldum,€18.00m 
Idrissa Gueye,€12.00m 
Ander Herrera,€10.00m 
Edouard Michut,€3.00m 
Junior Dina Ebimbe,€5.00m 
Rafinha,€9.00m 
Xavi Simons,€4.00m 
Ismaël Gharbi,€1.50m 
Nathan Bitumazala,€400k 
Neymar,€75.00m 
Julian Draxler,€18.00m 
Djeidi Gassama,€300k 
Lionel Messi,€50.00m 
Pablo Sarabia,€25.00m 
Ángel Di María,€12.00m 
Kylian Mbappé,€160.00m 
Mauro Icardi,€22.00m 
Arnaud Kalimuendo,€18.00m 
Kenny Nagera,€300k 
Sekou Yansané,€300k 
Alfred Gomis,€8.00m 
Dogan Alemdar,€3.50m 
Romain Salin,€400k 
Pépé Bonet,€400k 
Elias Damergy,€200k 
Loïc Badé,€12.00m 
Nayef Aguerd,€12.00m 
Warmed Omari,€8.00m 
Jérémy Gélin,€2.50m 
Jeanuël Belocian,€500k 
Adrien Truffert,€12.00m 
Birger Meling,€7.00m 
Faitout Maouassa,€3.00m 
Hamari Traoré,€10.00m 
Lorenz Assignon,€3.00m 
Baptiste Santamaria,€14.00m 
Lesley Ugochukwu,€3.00m 
Jonas Martin,€2.50m 
Noah Françoise,€250k 
Eduardo Camavinga,€55.00m 
Lovro Majer,€20.00m 
Flavien Tait,€8.00m 
Andy Diouf,€500k 
Benjamin Bourigeaud,€18.00m 
Romain Del Castillo,€3.00m 
Désiré Doué,€400k 
Martin Terrier,€25.00m 
Kamaldeen Sulemana,€18.00m 
Jérémy Doku,€20.00m 
Loum Tchaouna,€2.00m 
Junior Kadile,€200k 
Gaëtan Laborde,€18.00m 
Serhou Guirassy,€10.00m 
Matthis Abline,€3.00m 
Mathys Tel,€2.00m 
Alexander Nübel,€8.00m 
Radoslaw Majecki,€3.00m 
Vito Mannone,€500k 
Yann Lienard,€200k 
Benoît Badiashile,€30.00m 
Axel Disasi,€17.00m 
Guillermo Maripán,€15.00m 
Strahinja Pavlovic,€5.00m 
Chrislain Matsima,€5.00m 
Jean Marcelin,€3.00m 
Yllan Okou,€300k 
Fouad El Maach,€150k 
Caio Henrique,€20.00m 
Ismail Jakobs,€7.00m 
Louis Torres,€150k 
Vanderson,€18.00m 
Ruben Aguilar,€10.00m 
Djibril Sidibé,€8.00m 
Aurélien Platret,€150k 
Aurélien Tchouaméni,€60.00m 
Pelé,€1.00m 
Soungoutou Magassa,€200k 
Youssouf Fofana,€18.00m 
Jean Lucas,€8.00m 
Eliot Matazo,€8.00m 
Cesc Fàbregas,€2.50m 
Félix Lemaréchal,€600k 
Tiago Ribeiro,€250k 
Florian Baranik,€150k 
Aleksandr Golovin,€25.00m 
Maghnes Akliouche,€1.00m 
Sofiane Diop,€20.00m 
Gelson Martins,€15.00m 
Krépin Diatta,€13.00m 
Anthony Musaba,€1.20m 
Wissam Ben Yedder,€25.00m 
Kevin Volland,€22.00m 
Myron Boadu,€14.00m 
Wilson Isidor,€6.00m 
Pietro Pellegri,€4.50m 
Eric Ayiah,€150k 
Pau López,€12.00m 
Steve Mandanda,€1.50m 
Simon Ngapandouetnbu,€400k 
Fabio Vanni,€150k 
William Saliba,€30.00m 
Duje Caleta-Car,€16.00m 
Leonardo Balerdi,€10.00m 
Luan Peres,€7.00m 
Álvaro González,€2.50m 
Jordan Amavi,€6.00m 
Sead Kolasinac,€3.00m 
Pol Lirola,€8.00m 
Amay Caprice,€250k 
Boubacar Kamara,€25.00m 
Pape Gueye,€12.00m 
Paolo Sciortino,€150k 
Mattéo Guendouzi,€25.00m 
Gerson,€22.00m 
Valentin Rongier,€12.00m 
Cheick Souaré,€200k 
Oussama Targhalline,€200k 
Bilal Nadir,€150k 
Amine Harit,€10.00m 
Dimitri Payet,€5.00m 
Ugo Bertelli,€300k 
Luis Henrique,€6.00m 
Konrad de la Fuente,€6.00m 
Nemanja Radonjic,€4.00m 
Salim Ben Seghir,€400k 
Jonathan Pitou,€250k 
Cengiz Ünder,€22.00m 
Arkadiusz Milik,€16.00m 
Bamba Dieng,€10.00m 
Cédric Bakambu,€8.00m 
Darío Benedetto,€3.00m 
Aylan Benyahia-Tani,€250k 
Anthony Lopes,€10.00m 
Julian Pollersbeck,€800k 
Kayne Bonnevie,€250k 
Malcolm Barcola,€250k 
Castello Lukeba,€20.00m 
Jason Denayer,€14.00m 
Sinaly Diomandé,€5.00m 
Jérôme Boateng,€3.50m 
Marcelo,€1.00m 
Damien Da Silva,€1.00m 
Emerson,€14.00m 
Henrique Silva,€1.50m 
Hugo Vogel,€500k 
Malo Gusto,€12.00m 
Léo Dubois,€10.00m 
Irvyn Lomami,€200k 
Bruno Guimarães,€40.00m 
Thiago Mendes,€9.00m 
Tanguy Ndombélé,€30.00m 
Houssem Aouar,€25.00m 
Maxence Caqueret,€25.00m 
Pape Cheikh,€1.80m 
Habib Keïta,€800k 
Florent Sanchez,€600k 
Noam Bonnet,€150k 
Romain Faivre,€15.00m 
Lucas Paquetá,€35.00m 
Rayan Cherki,€18.00m 
Jeff Reine-Adélaïde,€14.00m 
Xherdan Shaqiri,€7.00m 
Maxwel Cornet,€15.00m 
Karl Toko Ekambi,€15.00m 
Lenny Pintor,€1.50m 
Madyan Sounni,€150k 
Tetê,€22.00m 
Bradley Barcola,€1.00m 
Moussa Dembélé,€20.00m 
Tino Kadewere,€6.00m 
Islam Slimani,€1.50m 
Gaël Nsombi,€200k 
Wuilker Fariñez,€4.00m 
Jean-Louis Leca,€500k 
Yannick Pandor,€200k 
Facundo Medina,€11.00m 
Kevin Danso,€9.00m 
Jonathan Gradit,€4.50m 
Christopher Wooh,€3.00m 
Steven Fortes,€650k 
Adrien Louveau,€100k 
Yacouba Barry,€100k 
Massadio Haidara,€2.00m 
Deiver Machado,€1.80m 
Ismaël Boura,€1.50m 
Malcom Musquet,€100k 
Jonathan Clauss,€15.00m 
Brayann Pereira,€600k 
Cheick Doucouré,€15.00m 
Patrick Berg,€4.50m 
Yannick Cahuzac,€300k 
Samba Sow,€200k 
Seko Fofana,€25.00m 
Jonathan Varane,€250k 
Mamadou Camara,€150k 
Przemyslaw Frankowski,€8.00m 
Charles Boli,€400k 
Gaël Kakuta,€7.00m 
David Costa,€4.50m 
Mohamed Cissé,€200k 
Arnaud Kalimuendo,€18.00m 
Simon Banza,€5.00m 
Ignatius Ganago,€5.00m 
Florian Sotoca,€2.50m 
Wesley Saïd,€2.50m 
Corentin Jean,€1.20m 
Ibrahima Baldé,€300k 
Walter Benítez,€14.00m 
Marcin Bulka,€2.00m 
Teddy Boulhendi,€150k 
Jean-Clair Todibo,€20.00m 
Flavius Daniliuc,€8.00m 
Robson Bambu,€3.00m 
Dante,€800k 
Yannis Nahounou,€150k 
Melvin Bard,€9.00m 
Jordan Amavi,€6.00m 
Hassane Kamara,€4.00m 
Youcef Atal,€15.00m 
Jordan Lotomba,€7.00m 
Antoine Mendy,€150k 
Pablo Rosario,€10.00m 
Mario Lemina,€9.00m 
Morgan Schneiderlin,€3.50m 
Danilo Barbosa,€3.50m 
Justin Smith,€300k 
Khéphren Thuram,€17.00m 
Hicham Boudaoui,€6.50m 
Alexis Trouillet,€1.50m 
Alexis Claude-Maurice,€6.00m 
Justin Kluivert,€15.00m 
Billal Brahimi,€5.00m 
Myziane Maolida,€3.00m 
Calvin Stengs,€13.00m 
