Players,Values
Thibaut Courtois,€60.00m 
Andriy Lunin,€2.50m 
Luis López,€300k 
Toni Fuidias,€300k 
Éder Militão,€60.00m 
David Alaba,€55.00m 
Nacho Fernández,€7.00m 
Jesús Vallejo,€3.00m 
Mario Gila,€500k 
Rafa Marín,€400k 
Ferland Mendy,€40.00m 
Miguel Gutiérrez,€6.00m 
Marcelo,€3.00m 
Daniel Carvajal,€18.00m 
Lucas Vázquez,€12.00m 
Álvaro Odriozola,€12.00m 
Sergio Santos,€250k 
Casemiro,€40.00m 
Antonio Blanco,€5.00m 
Federico Valverde,€70.00m 
Eduardo Camavinga,€55.00m 
Toni Kroos,€20.00m 
Dani Ceballos,€14.00m 
Luka Modric,€10.00m 
Isco,€7.50m 
Vinicius Junior,€100.00m 
Eden Hazard,€12.00m 
Rodrygo,€60.00m 
Marco Asensio,€40.00m 
Gareth Bale,€3.00m 
Peter González,€1.00m 
Karim Benzema,€30.00m 
Luka Jovic,€16.00m 
Mariano Díaz,€6.00m 
Juanmi Latasa,€1.00m 
Marc-André ter Stegen,€30.00m 
Iñaki Peña,€4.20m 
Neto,€3.00m 
Arnau Tenas,€1.50m 
Lazar Carevic,€200k 
Ronald Araújo,€50.00m 
Eric García,€18.00m 
Clément Lenglet,€12.00m 
Óscar Mingueza,€6.00m 
Gerard Piqué,€5.00m 
Samuel Umtiti,€2.00m 
Arnau Comas,€1.00m 
Mika Mármol,€800k 
Jordi Alba,€9.00m 
Alejandro Balde,€4.00m 
Emerson Royal,€25.00m 
Sergiño Dest,€18.00m 
Sergi Roberto,€6.00m 
Dani Alves,€1.00m 
Guillem Jaime,€300k 
Sergio Busquets,€9.00m 
Jandro Orellana,€1.50m 
Álvaro Sanz,€700k 
Pedri,€80.00m 
Frenkie de Jong,€60.00m 
Gavi,€60.00m 
Nico González,€20.00m 
Miralem Pjanic,€9.50m 
Riqui Puig,€7.00m 
Lucas de Vega,€400k 
Ansu Fati,€60.00m 
Ferran Torres,€45.00m 
Philippe Coutinho,€20.00m 
Abde Ezzalzouli,€8.00m 
Ousmane Dembélé,€30.00m 
Adama Traoré,€20.00m 
Yusuf Demir,€5.00m 
Ilias Akhomach,€3.00m 
Antoine Griezmann,€35.00m 
Memphis Depay,€35.00m 
Pierre-Emerick Aubameyang,€15.00m 
Martin Braithwaite,€6.00m 
Luuk de Jong,€4.00m 
Ferran Jutglà,€3.00m 
Rey Manaj,€1.50m 
Jan Oblak,€45.00m 
Benjamin Lecomte,€5.00m 
Ivo Grbic,€3.50m 
José María Giménez,€50.00m 
Mario Hermoso,€20.00m 
Stefan Savic,€16.00m 
Nehuén Pérez,€6.00m 
Felipe,€6.00m 
Renan Lodi,€30.00m 
Reinildo Mandava,€22.00m 
Kieran Trippier,€15.00m 
Daniel Wass,€6.00m 
Sime Vrsaljko,€5.00m 
Geoffrey Kondogbia,€20.00m 
Marcos Llorente,€45.00m 
Rodrigo de Paul,€40.00m 
Koke,€25.00m 
Saúl Ñíguez,€25.00m 
Héctor Herrera,€5.00m 
Thomas Lemar,€40.00m 
Yannick Carrasco,€40.00m 
Ángel Correa,€45.00m 
João Félix,€70.00m 
Antoine Griezmann,€35.00m 
Matheus Cunha,€30.00m 
Luis Suárez,€8.00m 
Sergio Camello,€3.00m 
Ivan Saponjic,€800k 
Giuliano Simeone,€500k 
Álex Remiro,€22.00m 
Mathew Ryan,€5.00m 
Gaizka Ayesa,€1.00m 
Unai Marrero,€150k 
Robin Le Normand,€30.00m 
Aritz Elustondo,€20.00m 
Igor Zubeldia,€15.00m 
Jon Pacheco,€1.00m 
Urko González,€1.00m 
Aihen Muñoz,€6.00m 
Diego Rico,€3.00m 
Nacho Monreal,€1.00m 
Jonathan Gómez,€500k 
Cristo Romero,€300k 
Andoni Gorosabel,€10.00m 
Joseba Zaldua,€4.00m 
Álex Sola,€300k 
Martín Zubimendi,€30.00m 
Asier Illarramendi,€3.00m 
Mikel Merino,€50.00m 
Ander Guevara,€5.00m 
Beñat Turrientes,€3.00m 
Jon Guridi,€1.20m 
Jon Ander Olasagasti,€1.00m 
Rafinha,€9.00m 
David Silva,€4.00m 
Robert Navarro,€3.00m 
Mikel Oyarzabal,€60.00m 
Ander Barrenetxea,€9.00m 
Näis Djouahra,€1.50m 
Adnan Januzaj,€12.00m 
Portu,€9.00m 
Germán Valera,€1.50m 
Ander Martín,€500k 
Alexander Isak,€30.00m 
Alexander Sørloth,€10.00m 
Carlos Fernández,€5.00m 
Jon Karrikaburu,€5.00m 
Julen Lobete,€3.00m 
Jon Bautista,€1.00m 
Gerónimo Rulli,€6.00m 
Sergio Asenjo,€4.00m 
Iker Álvarez,€300k 
Filip Jörgensen,€300k 
Pau Torres,€50.00m 
Jorge Cuenca,€8.00m 
Aïssa Mandi,€6.00m 
Raúl Albiol,€3.00m 
Adrián de la Fuente,€600k 
Pervis Estupiñán,€20.00m 
Alfonso Pedraza,€18.00m 
Alberto Moreno,€5.00m 
Dani Tasende,€500k 
Juan Foyth,€25.00m 
Serge Aurier,€10.00m 
Mario Gaspar,€3.00m 
Rubén Peña,€2.50m 
Lanchi,€200k 
Francis Coquelin,€5.00m 
Étienne Capoue,€3.00m 
Vicente Iborra,€2.00m 
Giovani Lo Celso,€22.00m 
Manu Trigueros,€14.00m 
Dani Parejo,€9.00m 
Manu Morlanes,€5.00m 
Antonio Pacheco,€200k 
Carlo García,€400k 
Arnaut Danjuma,€50.00m 
Moi Gómez,€8.00m 
Nikita Iosifov,€1.20m 
Yéremy Pino,€40.00m 
Samuel Chukwueze,€20.00m 
Dani Raba,€900k 
Gerard Moreno,€40.00m 
Boulaye Dia,€12.00m 
Paco Alcácer,€9.00m 
Fer Niño,€3.00m 
Nicolas Jackson,€1.00m 
Juan Carlos Arana,€800k 
Rui Silva,€15.00m 
Joel Robles,€1.50m 
Claudio Bravo,€1.00m 
Dani Rebollo,€100k 
Edgar González,€6.00m 
Marc Bartra,€6.00m 
Germán Pezzella,€5.00m 
Sidnei,€2.00m 
Víctor Ruiz,€1.50m 
Kike Hermoso,€200k 
Álex Moreno,€18.00m 
Juan Miranda,€5.00m 
Marc Baró,€200k 
José Calderón,€200k 
Héctor Bellerín,€20.00m 
Youssouf Sabaly,€3.00m 
Aitor Ruibal,€3.00m 
Martín Montoya,€1.50m 
Fran Delgado,€400k 
Guido Rodríguez,€25.00m 
William Carvalho,€16.00m 
Paul Akouokou,€4.00m 
Andrés Guardado,€1.50m 
Víctor Camarasa,€1.00m 
Antonio Marchena,€100k 
Nabil Fekir,€40.00m 
Sergio Canales,€20.00m 
Rodri Sánchez,€4.00m 
Yassin Fekir,€300k 
Juanmi,€15.00m 
Cristian Tello,€5.00m 
Diego Lainez,€2.50m 
Rober González,€2.00m 
Joaquín,€1.50m 
Borja Iglesias,€15.00m 
Willian José,€12.00m 
Loren Morón,€4.00m 
Raúl García,€500k 
Bono,€18.00m 
Marko Dmitrović,€5.00m 
Javi Díaz,€500k 
Alfonso Pastor,€250k 
Adrián González,€50k 
Jules Koundé,€60.00m 
Diego Carlos,€40.00m 
Karim Rekik,€5.00m 
Kike Salas,€150k 
Marcos Acuña,€18.00m 
Ludwig Augustinsson,€5.00m 
Juan María Alcedo,€200k 
Pablo Pérez,€100k 
Gonzalo Montiel,€14.00m 
Alejandro Pozo,€4.00m 
Jesús Navas,€3.00m 
Valentino Fattore,€400k 
José Ángel Carmona,€200k 
Nemanja Gudelj,€4.00m 
Fernando,€4.00m 
Joan Jordán,€22.00m 
Óliver Torres,€8.00m 
Ivan Rakitic,€7.00m 
Thomas Delaney,€7.00m 
Pedro Ortiz,€150k 
Óscar Rodríguez,€9.00m 
Nacho Quintana,€300k 
Papu Gómez,€6.00m 
Oussama Idrissi,€4.00m 
Lucas Ocampos,€25.00m 
Tecatito,€18.00m 
Erik Lamela,€16.00m 
Suso,€10.00m 
Juanlu Sánchez,€500k 
Luismi Cruz,€400k 
Antonio Zarzana,€200k 
Youssef En-Nesyri,€25.00m 
Rafa Mir,€16.00m 
Anthony Martial,€16.00m 
Munir El Haddadi,€8.00m 
Luuk de Jong,€4.00m 
Iván Romero,€600k 
Unai Simón,€25.00m 
Julen Agirrezabala,€5.00m 
Jokin Ezkieta,€300k 
Ander Iru,€100k 
Iñigo Martínez,€25.00m 
Yeray Álvarez,€13.00m 
Dani Vivian,€12.00m 
Unai Núñez,€9.00m 
Aitor Paredes,€200k 
Yuri Berchiche,€3.00m 
Mikel Balenziaga,€1.20m 
Iñigo Lekue,€3.00m 
Ander Capa,€2.50m 
Óscar de Marcos,€1.80m 
Álex Petxa,€1.00m 
Mikel Vesga,€3.00m 
Peru Nolaskoain,€1.50m 
Unai Vencedor,€20.00m 
Oier Zarraga,€3.50m 
Dani García,€3.00m 
Iker Muniain,€16.00m 
Oihan Sancet,€15.00m 
Álex Berenguer,€12.00m 
Jon Morcillo,€4.00m 
Nico Serrano,€2.50m 
Luis Bilbao,€250k 
Nico Williams,€12.00m 
Juan Artola,€700k 
Iñaki Williams,€25.00m 
Asier Villalibre,€3.00m 
Raúl García,€2.50m 
Giorgi Mamardashvili,€10.00m 
Jasper Cillessen,€3.00m 
Jaume Doménech,€2.00m 
Cristian Rivero,€200k 
Omar Alderete,€10.00m 
Gabriel Paulista,€7.00m 
Mouctar Diakhaby,€7.00m 
Eray Cömert,€1.50m 
Cristiano Piccini,€1.20m 
Cristhian Mosquera,€1.00m 
José Gayà,€40.00m 
Jesús Vázquez,€5.00m 
Toni Lato,€1.50m 
Thierry Correia,€8.00m 
Daniel Wass,€6.00m 
Dimitri Foulquier,€4.00m 
Joseda Menargues,€200k 
Hugo Guillamón,€20.00m 
Uros Racic,€7.00m 
Carlos Soler,€50.00m 
Yunus Musah,€15.00m 
Ilaix Moriba,€9.00m 
Koba Koindredi,€1.00m 
Pedro Alemañ,€100k 
Gonçalo Guedes,€40.00m 
Bryan Gil,€18.00m 
Manu Vallejo,€3.00m 
Denis Cheryshev,€2.50m 
Álex Blanco,€700k 
Hélder Costa,€5.00m 
Jason,€2.50m 
Hugo González,€200k 
Maxi Gómez,€12.00m 
Hugo Duro,€10.00m 
Marcos André,€5.00m 
Rubén Sobrino,€2.00m 
Sergio Herrera,€8.00m 
Juan Pérez,€600k 
Darío Ramos,€200k 
Yoel Ramírez,€50k 
David García,€20.00m 
