Players,Values
Alex Meret,€10.00m 
David Ospina,€5.00m 
Hubert Idasiak,€150k 
Davide Marfella,€50k 
Kalidou Koulibaly,€35.00m 
Amir Rrahmani,€25.00m 
Axel Tuanzebe,€7.00m 
Konstantinos Manolas,€4.50m 
Juan Jesus,€4.00m 
Davide Costanzo,€125k 
Benedetto Barba,€75k 
Jonathan Spedalieri,€50k 
Mário Rui,€8.00m 
Faouzi Ghoulam,€1.40m 
Giovanni Di Lorenzo,€25.00m 
Alessandro Zanoli,€4.00m 
Kévin Malcuit,€1.00m 
Moussa Mané,€25k 
Stanislav Lobotka,€20.00m 
Diego Demme,€8.00m 
Luca Palmiero,€1.20m 
Fabián Ruiz,€55.00m 
Piotr Zielinski,€40.00m 
Frank Anguissa,€30.00m 
Eljif Elmas,€24.00m 
Gianluca Gaetano,€4.50m 
Antonio Vergara,€150k 
Lorenzo Insigne,€25.00m 
Antonio Cioffi,€500k 
Hirving Lozano,€30.00m 
Matteo Politano,€20.00m 
Adam Ounas,€7.00m 
Dries Mertens,€4.00m 
Victor Osimhen,€65.00m 
Andrea Petagna,€12.00m 
Giuseppe Ambrosino,€500k 
Ionut Radu,€3.50m 
Samir Handanovic,€2.00m 
Alex Cordaz,€400k 
William Rovida,€200k 
Milan Skriniar,€65.00m 
Alessandro Bastoni,€60.00m 
Stefan de Vrij,€28.00m 
Danilo D'Ambrosio,€3.00m 
Andrea Ranocchia,€800k 
Fabio Cortinovis,€50k 
Federico Dimarco,€18.00m 
Franco Carboni,€1.00m 
Aleksandar Kolarov,€500k 
Matteo Darmian,€5.00m 
Mattia Zanotti,€350k 
Marcelo Brozovic,€40.00m 
Lucien Agoumé,€7.00m 
Mattia Sangalli,€250k 
Nicolò Barella,€70.00m 
Hakan Calhanoglu,€35.00m 
Roberto Gagliardini,€8.00m 
Stefano Sensi,€7.00m 
Matías Vecino,€3.50m 
Arturo Vidal,€2.00m 
Cesare Casadei,€1.00m 
Denzel Dumfries,€25.00m 
Robin Gosens,€28.00m 
Ivan Perisic,€10.00m 
Joaquín Correa,€23.00m 
Lautaro Martínez,€75.00m 
Andrea Pinamonti,€20.00m 
Martín Satriano,€7.00m 
Edin Dzeko,€4.00m 
Alexis Sánchez,€3.50m 
Felipe Caicedo,€1.50m 
Wojciech Szczesny,€15.00m 
Mattia Perin,€4.00m 
Franco Israel,€1.00m 
Carlo Pinsoglio,€400k 
Zsombor Senkó,€200k 
Marco Raina,€50k 
Matthijs de Ligt,€70.00m 
Danilo,€13.00m 
Leonardo Bonucci,€6.00m 
Daniele Rugani,€3.50m 
Koni De Winter,€2.20m 
Giorgio Chiellini,€1.50m 
Diego Stramaccioni,€350k 
Luca Pellegrini,€9.00m 
Alex Sandro,€6.00m 
Mattia De Sciglio,€6.00m 
Manuel Locatelli,€35.00m 
Denis Zakaria,€27.00m 
Rodrigo Bentancur,€28.00m 
Weston McKennie,€25.00m 
Arthur Melo,€18.00m 
Adrien Rabiot,€17.00m 
Nicolò Fagioli,€6.50m 
Fabio Miretti,€5.00m 
Aaron Ramsey,€3.00m 
Filippo Ranocchia,€1.80m 
Hans Nicolussi Caviglia,€900k 
Emanuele Zuelli,€700k 
Martin Palumbo,€700k 
Juan Cuadrado,€8.00m 
Federico Chiesa,€65.00m 
Marley Aké,€2.50m 
Samuel Iling Junior,€700k 
Dejan Kulusevski,€40.00m 
Federico Bernardeschi,€10.00m 
Matías Soulé,€2.50m 
Paulo Dybala,€35.00m 
Dusan Vlahovic,€85.00m 
Cristiano Ronaldo,€30.00m 
Álvaro Morata,€25.00m 
