Player,Club,Age,Position,Nation,Value
Erling Haaland,Manchester City,22,Attack,Norway,180000000.0
Vinicius Junior,Real Madrid,22,Attack,Brazil,150000000.0
Jude Bellingham,Borussia Dortmund,19,midfield,England,120000000.0
Bukayo Saka,Arsenal FC,21,Attack,England,120000000.0
Victor Osimhen,SSC Napoli,24,Attack,Nigeria,120000000.0
Jamal Musiala,Bayern Munich,20,midfield,Germany,110000000.0
Phil Foden,Manchester City,23,Attack,England,110000000.0
Federico Valverde,Real Madrid,24,midfield,Uruguay,100000000.0
Pedri,FC Barcelona,20,midfield,Spain,100000000.0
Rodrygo,Real Madrid,22,Attack,Brazil,100000000.0
Rafael Leão,AC Milan,24,Attack,Portugal,90000000.0
Gavi,FC Barcelona,18,midfield,Spain,90000000.0
Rodri,Manchester City,27,midfield,Spain,90000000.0
Harry Kane,Tottenham Hotspur,29,Attack,England,90000000.0
Declan Rice,West Ham United,24,midfield,England,90000000.0
Martin Ødegaard,Arsenal FC,24,midfield,Norway,90000000.0
Florian Wirtz,Bayer 04 Leverkusen,20,midfield,Germany,85000000.0
Khvicha Kvaratskhelia,SSC Napoli,22,Attack,Georgia,85000000.0
Lautaro Martínez,Inter Milan,25,Attack,Argentina,85000000.0
Eduardo Camavinga,Real Madrid,20,midfield,France,85000000.0
Aurélien Tchouaméni,Real Madrid,23,midfield,France,85000000.0
Randal Kolo Muani,Eintracht Frankfurt,24,Attack,France,80000000.0
Christopher Nkunku,RB Leipzig,25,Attack,France,80000000.0
Gabriel Martinelli,Arsenal FC,22,Attack,Brazil,80000000.0
Enzo Fernández,Chelsea FC,22,midfield,Argentina,80000000.0
Marcus Rashford,Manchester United,25,Attack,England,80000000.0
Bernardo Silva,Manchester City,28,midfield,Portugal,80000000.0
Rúben Dias,Manchester City,26,Defender,Portugal,80000000.0
Luis Díaz,Liverpool FC,26,Attack,Colombia,75000000.0
Josko Gvardiol,RB Leipzig,21,Defender,Croatia,75000000.0
Joshua Kimmich,Bayern Munich,28,midfield,Germany,75000000.0
Matthijs de Ligt,Bayern Munich,23,Defender,Netherlands,75000000.0
Bruno Fernandes,Manchester United,28,midfield,Portugal,75000000.0
Nicolò Barella,Inter Milan,26,midfield,Italy,75000000.0
Gabriel Jesus,Arsenal FC,26,Attack,Brazil,75000000.0
Frenkie de Jong,FC Barcelona,26,midfield,Netherlands,75000000.0
Jack Grealish,Manchester City,27,Attack,England,75000000.0
Alphonso Davies,Bayern Munich,22,Defender,Canada,70000000.0
Bruno Guimarães,Newcastle United,25,midfield,Brazil,70000000.0
Ronald Araújo,FC Barcelona,24,Defender,Uruguay,70000000.0
Kevin De Bruyne,Manchester City,31,midfield,Belgium,70000000.0
Alexander Isak,Newcastle United,23,Attack,Sweden,70000000.0
Éder Militão,Real Madrid,25,Defender,Brazil,70000000.0
Dusan Vlahovic,Juventus FC,23,Attack,Serbia,70000000.0
Mohamed Salah,Liverpool FC,31,Attack,Egypt,65000000.0
Trent Alexander-Arnold,Liverpool FC,24,Defender,England,65000000.0
Darwin Núñez,Liverpool FC,24,Attack,Uruguay,65000000.0
Leroy Sané,Bayern Munich,27,Attack,Germany,65000000.0
Kingsley Coman,Bayern Munich,27,Attack,France,65000000.0
William Saliba,Arsenal FC,22,Defender,France,65000000.0
Reece James,Chelsea FC,23,Defender,England,65000000.0
Dayot Upamecano,Bayern Munich,24,Defender,France,60000000.0
Jules Koundé,FC Barcelona,24,Defender,France,60000000.0
Ousmane Dembélé,FC Barcelona,26,Attack,France,60000000.0
Raphinha,FC Barcelona,26,Attack,Brazil,60000000.0
Antony,Manchester United,23,Attack,Brazil,60000000.0
Mason Mount,Chelsea FC,24,midfield,England,60000000.0
Theo Hernández,AC Milan,25,Defender,France,60000000.0
Alessandro Bastoni,Inter Milan,24,Defender,Italy,60000000.0
Cristian Romero,Tottenham Hotspur,25,Defender,Argentina,60000000.0
James Maddison,Leicester City,26,midfield,England,60000000.0
Min-jae Kim,SSC Napoli,26,Defender,"Korea, South",60000000.0
Julián Álvarez,Manchester City,23,Attack,Argentina,60000000.0
Kai Havertz,Chelsea FC,24,Attack,Germany,55000000.0
Serge Gnabry,Bayern Munich,27,Attack,Germany,55000000.0
Gabriel Magalhães,Arsenal FC,25,Defender,Brazil,55000000.0
Ben White,Arsenal FC,25,Defender,England,55000000.0
Wesley Fofana,Chelsea FC,22,Defender,France,55000000.0
Raheem Sterling,Chelsea FC,28,Attack,England,55000000.0
Cody Gakpo,Liverpool FC,24,Attack,Netherlands,55000000.0
João Cancelo,Bayern Munich,29,Defender,Portugal,50000000.0
Dominik Szoboszlai,RB Leipzig,22,midfield,Hungary,50000000.0
Moussa Diaby,Bayer 04 Leverkusen,23,Attack,France,50000000.0
Dejan Kulusevski,Tottenham Hotspur,23,Attack,Sweden,50000000.0
Alejandro Balde,FC Barcelona,19,Defender,Spain,50000000.0
Sandro Tonali,AC Milan,23,midfield,Italy,50000000.0
Heung-min Son,Tottenham Hotspur,30,Attack,"Korea, South",50000000.0
Lisandro Martínez,Manchester United,25,Defender,Argentina,50000000.0
Mykhaylo Mudryk,Chelsea FC,22,Attack,Ukraine,50000000.0
Mikel Merino,Real Sociedad,27,midfield,Spain,50000000.0
Diogo Jota,Liverpool FC,26,Attack,Portugal,50000000.0
Milan Skriniar,Inter Milan,28,Defender,Slovakia,50000000.0
Sergej Milinković-Savić,SS Lazio,28,midfield,Serbia,50000000.0
João Félix,Chelsea FC,23,Attack,Portugal,50000000.0
Richarlison,Tottenham Hotspur,26,Attack,Brazil,48000000.0
Lucas Hernández,Bayern Munich,27,Defender,France,45000000.0
Leon Goretzka,Bayern Munich,28,midfield,Germany,45000000.0
Lucas Paquetá,West Ham United,25,midfield,Brazil,45000000.0
Mike Maignan,AC Milan,27,Goalkeeper,France,45000000.0
Amadou Onana,Everton FC,21,midfield,Belgium,45000000.0
Pau Torres,Villarreal CF,26,Defender,Spain,45000000.0
Thibaut Courtois,Real Madrid,31,Goalkeeper,Belgium,45000000.0
Matheus Nunes,Wolverhampton Wanderers,24,midfield,Portugal,45000000.0
Sven Botman,Newcastle United,23,Defender,Netherlands,45000000.0
Pierre-Emile Höjbjerg,Tottenham Hotspur,27,midfield,Denmark,45000000.0
Rasmus Højlund,Atalanta BC,20,Attack,Denmark,45000000.0
Jadon Sancho,Manchester United,23,Attack,England,45000000.0
Fabinho,Liverpool FC,29,midfield,Brazil,42000000.0
Luke Shaw,Manchester United,27,Defender,England,42000000.0
Joelinton,Newcastle United,26,midfield,Brazil,42000000.0
Oleksandr Zinchenko,Arsenal FC,26,Defender,Ukraine,42000000.0
Jacob Ramsey,Aston Villa,22,midfield,England,42000000.0
