Player,Club,Age,Position,Nation,Value
Gianluigi Donnarumma,Paris Saint-Germain,24,Goalkeeper,Italy,45.00m
Sergio Rico,Paris Saint-Germain,29,Goalkeeper,Spain,3.00m
Lucas Lavallée,Paris Saint-Germain,20,Goalkeeper,France,300k
Alexandre Letellier,Paris Saint-Germain,32,Goalkeeper,France,300k
Marquinhos,Paris Saint-Germain,29,Defender,Brazil,65.00m
Presnel Kimpembe,Paris Saint-Germain,27,Defender,France,28.00m
El Chadaille Bitshiabu,Paris Saint-Germain,18,Defender,France,7.00m
Sergio Ramos,Paris Saint-Germain,37,Defender,Spain,4.50m
Nuno Mendes,Paris Saint-Germain,21,Defender,Portugal,65.00m
Juan Bernat,Paris Saint-Germain,30,Defender,Spain,10.00m
Serif Nhaga,Paris Saint-Germain,17,Defender,Portugal,150k
Achraf Hakimi,Paris Saint-Germain,24,Defender,Morocco,65.00m
Nordi Mukiele,Paris Saint-Germain,25,Defender,France,18.00m
Timothée Pembélé,Paris Saint-Germain,20,Defender,France,5.00m
Danilo Pereira,Paris Saint-Germain,31,midfield,Portugal,10.00m
Vitinha,Paris Saint-Germain,23,midfield,Portugal,42.00m
Marco Verratti,Paris Saint-Germain,30,midfield,Italy,40.00m
Fabián Ruiz,Paris Saint-Germain,27,midfield,Spain,32.00m
Carlos Soler,Paris Saint-Germain,26,midfield,Spain,25.00m
Warren Zaïre-Emery,Paris Saint-Germain,17,midfield,France,20.00m
Renato Sanches,Paris Saint-Germain,25,midfield,Portugal,15.00m
Ismaël Gharbi,Paris Saint-Germain,19,midfield,Spain,5.00m
Neymar,Paris Saint-Germain,31,Attack,Brazil,60.00m
Lionel Messi,Paris Saint-Germain,36,Attack,Argentina,35.00m
Kylian Mbappé,Paris Saint-Germain,24,Attack,France,180.00m
Hugo Ekitiké,Paris Saint-Germain,21,Attack,France,20.00m
Ilyes Housni,Paris Saint-Germain,18,Attack,France,3.50m
Dogan Alemdar,Stade Rennais FC,20,Goalkeeper,Turkey,4.00m
Steve Mandanda,Stade Rennais FC,38,Goalkeeper,France,1.00m
Elias Damergy,Stade Rennais FC,20,Goalkeeper,Tunisia,150k
Romain Salin,Stade Rennais FC,38,Goalkeeper,France,150k
Arthur Theate,Stade Rennais FC,23,Defender,Belgium,22.00m
Warmed Omari,Stade Rennais FC,23,Defender,France,9.00m
Joe Rodon,Stade Rennais FC,25,Defender,Wales,7.00m
Jeanuël Belocian,Stade Rennais FC,18,Defender,France,7.00m
Christopher Wooh,Stade Rennais FC,21,Defender,Cameroon,6.00m
Adrien Truffert,Stade Rennais FC,21,Defender,France,18.00m
Birger Meling,Stade Rennais FC,28,Defender,Norway,5.00m
Hamari Traoré,Stade Rennais FC,31,Defender,Mali,10.00m
