,Player,Age,League,Club,Position,Value,Overall,Shooting,Passing,Dribbling,Defending,Physical
0,Bruno Fernandes,27,Premier League,Manchester United,midfield,74900000.0,93.14,86.99,93.91,96.9,60.92,94.78
1,Randal Kolo Muani,23,Bundesliga,Eintracht Frankfurt,Attack,64000000.0,79.55,81.78,69.47,85.58,38.54,81.39
2,Victor Osimhen,23,Serie A,SSC Napoli,Attack,55000000.0,76.58,84.69,63.15,77.83,38.28,80.64
3,Bukayo Saka,20,Premier League,Arsenal FC,Attack,55000000.0,93.19,93.15,84.07,97.95,57.02,97.58
4,Vinicius Junior,22,La Liga,Real Madrid,Attack,50000000.0,84.88,81.44,80.43,91.92,46.79,85.72
5,Alejandro Balde,18,La Liga,FC Barcelona,Defender,46000000.0,76.28,59.96,69.68,71.57,79.68,84.17
6,Jamal Musiala,19,Bundesliga,Bayern Munich,midfield,45000000.0,84.96,83.75,81.57,90.51,46.78,84.02
7,Martin Odegaard,23,Premier League,Arsenal FC,midfield,45000000.0,91.38,92.24,85.48,93.58,49.53,94.21
8,Rodrygo,21,La Liga,Real Madrid,Attack,40000000.0,85.66,81.01,81.01,94.95,41.72,85.68
9,Alexander Isak,22,Premier League,Newcastle United,Attack,40000000.0,9.69,21.61,9.03,4.89,3.23,2.82
10,Josko Gvardiol,20,Bundesliga,RB Leipzig,Defender,40000000.0,76.32,55.37,77.71,61.59,90.71,75.27
11,Jude Bellingham,19,La Liga,Real Madrid,midfield,40000000.0,78.1,75.36,72.96,83.03,72.51,81.05
12,Vitinha,22,Ligue 1,Paris Saint-Germain,midfield,36000000.0,45.73,46.95,46.53,46.39,28.25,43.06
13,Goncalo Ramos,21,Primeira Liga,SL Benfica,Attack,36000000.0,70.57,79.27,53.64,72.77,39.52,76.61
14,William Saliba,21,Premier League,Arsenal FC,Defender,35000000.0,72.02,60.52,64.51,54.13,74.51,88.55
15,Amadou Onana,20,Premier League,Everton FC,midfield,35000000.0,76.68,74.03,58.56,76.1,70.71,85.88
16,Gavi,17,La Liga,FC Barcelona,midfield,30000000.0,82.91,82.96,69.43,86.27,53.93,92.97
17,Bruno Guimaraes,24,Premier League,Newcastle United,midfield,30000000.0,78.18,77.79,70.96,79.61,71.56,83.76
18,Giorgio Scalvini,18,Serie A,Atalanta BC,Defender,30000000.0,75.59,61.08,71.8,66.21,81.8,82.55
19,Erling Haaland,22,Premier League,Manchester City,Attack,30000000.0,83.32,95.93,65.11,84.18,41.95,88.06
20,Ousmane Dembele,25,La Liga,FC Barcelona,Attack,30000000.0,67.0,60.85,71.23,73.07,32.1,62.84
21,Eduardo Camavinga,19,La Liga,Real Madrid,midfield,30000000.0,85.11,81.27,74.91,89.65,56.14,94.61
22,Federico Valverde,24,La Liga,Real Madrid,midfield,30000000.0,79.85,81.68,68.91,83.2,50.0,85.62
23,Nicolas Jackson,21,Premier League,Chelsea FC,Attack,29000000.0,66.41,74.07,53.75,71.27,32.3,66.55
24,Morgan Gibbs-White,22,Premier League,Nottingham Forest,midfield,29000000.0,83.2,80.67,75.44,87.54,47.1,89.13
25,Nicolo Fagioli,21,Serie A,Juventus FC,midfield,28500000.0,62.54,68.82,52.97,62.9,35.79,65.49
26,Lois Openda,22,Ligue 1,RC Lens,Attack,27500000.0,88.59,97.09,69.09,92.82,45.55,95.36
27,Folarin Balogun,21,Premier League,Arsenal FC,Attack,26000000.0,85.56,91.73,67.39,89.88,44.37,93.23
28,Nuno Mendes,20,Ligue 1,Paris Saint-Germain,Defender,25000000.0,64.19,44.18,52.53,51.75,73.02,79.45
29,Aurelien Tchouameni,22,La Liga,Real Madrid,midfield,25000000.0,75.59,72.39,65.94,79.88,60.27,84.16
30,Antony,20,Premier League,Manchester United,Attack,25000000.0,77.03,79.6,61.92,82.43,50.15,84.19
31,Cody Gakpo,23,Premier League,Liverpool FC,Attack,25000000.0,52.93,56.31,48.64,53.61,35.54,53.17
32,Gabriel Jesus,25,Premier League,Arsenal FC,Attack,25000000.0,65.79,66.36,60.47,68.98,44.86,67.35
33,Dango Ouattara,20,Premier League,AFC Bournemouth,Attack,24100000.0,50.76,47.22,49.53,56.64,44.02,49.64
34,Khephren Thuram,21,Ligue 1,OGC Nice,midfield,23000000.0,81.6,79.75,70.72,86.51,53.83,89.42
35,Elye Wahi,19,Ligue 1,Montpellier HSC,Attack,23000000.0,78.27,90.69,58.54,79.38,41.87,84.49
36,Brennan Johnson,21,Premier League,Nottingham Forest,midfield,23000000.0,85.98,91.74,66.34,89.44,48.28,96.41
37,Adrien Rabiot,27,Serie A,Juventus FC,midfield,23000000.0,76.48,80.42,64.49,77.69,62.18,83.33
38,Nayef Aguerd,26,Premier League,West Ham United,Defender,23000000.0,75.6,37.98,80.1,36.06,93.1,91.22
39,Joelinton,25,Premier League,Newcastle United,midfield,22000000.0,76.16,77.52,64.08,79.5,55.79,83.56
40,Dominik Szoboszlai,21,Premier League,Liverpool FC,midfield,22000000.0,80.28,74.49,82.5,83.07,48.31,81.08
41,Diogo Dalot,23,Premier League,Manchester United,Defender,20000000.0,73.78,47.52,75.89,55.44,75.89,87.89
42,Stanislav Lobotka,27,Serie A,SSC Napoli,midfield,20000000.0,87.93,88.19,68.62,88.72,76.97,97.85
