,Players,Club,Position,Age,Nationality,Values
2306,Kylian Mbappé,Paris Saint-Germain,Attack,24,France,180000000.0
27,Erling Haaland,Manchester City,Attack,22,Norway,180000000.0
600,Vinicius Junior,Real Madrid,Attack,23,Brazil,150000000.0
591,Jude Bellingham,Real Madrid,midfield,20,England,120000000.0
570,Bukayo Saka,Arsenal FC,Attack,21,England,120000000.0
1122,Victor Osimhen,SSC Napoli,Attack,24,Nigeria,120000000.0
24,Phil Foden,Manchester City,Attack,23,England,110000000.0
1742,Jamal Musiala,Bayern Munich,midfield,20,Germany,110000000.0
601,Rodrygo,Real Madrid,Attack,22,Brazil,100000000.0
592,Federico Valverde,Real Madrid,midfield,24,Uruguay,100000000.0
616,Pedri,FC Barcelona,midfield,20,Spain,100000000.0
564,Martin Ødegaard,Arsenal FC,midfield,24,Norway,90000000.0
617,Gavi,FC Barcelona,midfield,18,Spain,90000000.0
256,Declan Rice,West Ham United,midfield,24,England,90000000.0
16,Rodri,Manchester City,midfield,27,Spain,90000000.0
1180,Rafael Leão,AC Milan,Attack,24,Portugal,90000000.0
178,Harry Kane,Tottenham Hotspur,Attack,29,England,90000000.0
589,Aurélien Tchouaméni,Real Madrid,midfield,23,France,85000000.0
1774,Florian Wirtz,Bayer 04 Leverkusen,midfield,20,Germany,85000000.0
1116,Khvicha Kvaratskhelia,SSC Napoli,Attack,22,Georgia,85000000.0
1153,Lautaro Martínez,Inter Milan,Attack,25,Argentina,85000000.0
593,Eduardo Camavinga,Real Madrid,midfield,20,France,85000000.0
85,Christopher Nkunku,Chelsea FC,Attack,25,France,80000000.0
568,Gabriel Martinelli,Arsenal FC,Attack,22,Brazil,80000000.0
139,Marcus Rashford,Manchester United,Attack,25,England,80000000.0
4,Rúben Dias,Manchester City,Defender,26,Portugal,80000000.0
1873,Randal Kolo Muani,Eintracht Frankfurt,Attack,24,France,80000000.0
75,Enzo Fernández,Chelsea FC,midfield,22,Argentina,80000000.0
21,Bernardo Silva,Manchester City,midfield,28,Portugal,80000000.0
1737,Joshua Kimmich,Bayern Munich,midfield,28,Germany,75000000.0
1729,Matthijs de Ligt,Bayern Munich,Defender,23,Netherlands,75000000.0
1140,Nicolò Barella,Inter Milan,midfield,26,Italy,75000000.0
574,Gabriel Jesus,Arsenal FC,Attack,26,Brazil,75000000.0
618,Frenkie de Jong,FC Barcelona,midfield,26,Netherlands,75000000.0
