,Players,Club,Position,Age,Nationality,Values
36,Bruno Fernandes,Manchester United,midfield,28,Portugal,74900000.0
25,Randal Kolo Muani,Eintracht Frankfurt,Attack,24,France,64000000.0
57,Antony,Manchester United,Attack,23,Brazil,59700000.0
4,Bukayo Saka,Arsenal FC,Attack,21,England,55000000.0
5,Victor Osimhen,SSC Napoli,Attack,24,Nigeria,55000000.0
2,Vinicius Junior,Real Madrid,Attack,23,Brazil,50000000.0
67,Min-jae Kim,SSC Napoli,Defender,26,"Korea, South",46000000.0
78,Alejandro Balde,FC Barcelona,Defender,19,Spain,46000000.0
11,Martin Ødegaard,Arsenal FC,midfield,24,Norway,45000000.0
7,Jamal Musiala,Bayern Munich,midfield,20,Germany,45000000.0
8,Rodrygo,Real Madrid,Attack,22,Brazil,40000000.0
34,Josko Gvardiol,RB Leipzig,Defender,21,Croatia,40000000.0
3,Jude Bellingham,Real Madrid,midfield,20,England,40000000.0
22,Gabriel Martinelli,Arsenal FC,Attack,22,Brazil,40000000.0
41,Alexander Isak,Newcastle United,Attack,23,Sweden,40000000.0
109,Vitinha,Paris Saint-Germain,midfield,23,Portugal,36000000.0
80,Gonçalo Ramos,SL Benfica,Attack,22,Portugal,36000000.0
134,Xavi Simons,PSV Eindhoven,midfield,20,Netherlands,36000000.0
83,Manuel Ugarte,Paris Saint-Germain,midfield,22,Uruguay,35000000.0
53,William Saliba,Arsenal FC,Defender,22,France,35000000.0
99,Amadou Onana,Everton FC,midfield,21,Belgium,35000000.0
133,Mohammed Kudus,Ajax Amsterdam,midfield,22,Ghana,30000000.0
115,Giorgio Scalvini,Atalanta BC,Defender,19,Italy,30000000.0
43,Bruno Guimarães,Newcastle United,midfield,25,Brazil,30000000.0
9,Federico Valverde,Real Madrid,midfield,24,Uruguay,30000000.0
20,Eduardo Camavinga,Real Madrid,midfield,20,France,30000000.0
12,Gavi,FC Barcelona,midfield,18,Spain,30000000.0
1,Erling Haaland,Manchester City,Attack,22,Norway,30000000.0
66,Ousmane Dembélé,FC Barcelona,Attack,26,France,30000000.0
214,Nicolas Jackson,Chelsea FC,Attack,22,Senegal,29000000.0
125,Morgan Gibbs-White,Nottingham Forest,midfield,23,England,29000000.0
221,Gabri Veiga,Celta de Vigo,midfield,21,Spain,28500000.0
198,Nicolò Fagioli,Juventus FC,midfield,22,Italy,28500000.0
168,Loïs Openda,RC Lens,Attack,23,Belgium,27500000.0
236,Micky van de Ven,VfL Wolfsburg,Defender,22,Netherlands,26000000.0
211,Folarin Balogun,Arsenal FC,Attack,22,United States,26000000.0
30,Gabriel Jesus,Arsenal FC,Attack,26,Brazil,25000000.0
71,Cody Gakpo,Liverpool FC,Attack,24,Netherlands,25000000.0
56,Antony,Manchester United,Attack,23,Brazil,25000000.0
46,Nuno Mendes,Paris Saint-Germain,Defender,21,Portugal,25000000.0
17,Aurélien Tchouaméni,Real Madrid,midfield,23,France,25000000.0
299,Dango Ouattara,AFC Bournemouth,Attack,21,Burkina Faso,24100000.0
251,Danilo,Nottingham Forest,midfield,22,Brazil,24000000.0
171,André Onana,Inter Milan,Goalkeeper,27,Cameroon,23000000.0
147,Khéphren Thuram,OGC Nice,midfield,22,France,23000000.0
142,Adrien Rabiot,Juventus FC,midfield,28,France,23000000.0
175,Elye Wahi,Montpellier HSC,Attack,20,France,23000000.0
158,Brennan Johnson,Nottingham Forest,midfield,22,Wales,23000000.0
178,Nayef Aguerd,West Ham United,Defender,27,Morocco,23000000.0
75,Dominik Szoboszlai,Liverpool FC,midfield,22,Hungary,22000000.0
106,Joelinton,Newcastle United,midfield,26,Brazil,22000000.0
135,Manu Koné,Borussia Mönchengladbach,midfield,22,France,22000000.0
64,Dayot Upamecano,Bayern Munich,Defender,24,France,20000000.0
0,Kylian Mbappé,Paris Saint-Germain,Attack,24,France,20000000.0
232,Sofyan Amrabat,ACF Fiorentina,midfield,26,Morocco,20000000.0
166,Cheick Doucouré,Crystal Palace,midfield,23,Mali,20000000.0
153,Diogo Dalot,Manchester United,Defender,24,Portugal,20000000.0
119,Jeremie Frimpong,Bayer 04 Leverkusen,Defender,22,Netherlands,20000000.0
97,Diogo Costa,FC Porto,Goalkeeper,23,Portugal,20000000.0
126,Stanislav Lobotka,SSC Napoli,midfield,28,Slovakia,20000000.0
23,Marcus Rashford,Manchester United,Attack,25,England,20000000.0
6,Phil Foden,Manchester City,Attack,23,England,20000000.0
10,Pedri,FC Barcelona,midfield,20,Spain,20000000.0
15,Rafael Leão,AC Milan,Attack,24,Portugal,20000000.0
37,Ronald Araújo,FC Barcelona,Defender,24,Uruguay,20000000.0
395,André Almeida,Valencia CF,midfield,23,Portugal,18500000.0
312,Taylor Harwood-Bellis,Manchester City,Defender,21,England,18000000.0
194,Piero Hincapié,Bayer 04 Leverkusen,Defender,21,Ecuador,18000000.0
408,Mathys Tel,Bayern Munich,Attack,18,France,18000000.0
